sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,gpt3.5_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Figures_of_word_choice,[],[],"['emphasis', 'polyptoton']","{
  ""Properties"": [""synonyms""],
  ""Explanation"": ""The use of 'exterminate' as a synonym for 'annihilate' emphasizes the intent to completely destroy the infidels.""
}",['synonyms'],"{
  ""Properties"": [""metaplasms""],
  ""Explanation"": ""The word 'Muhammad' is a metaplasm of 'Mohammed' which is the more common spelling in English, emphasizing a deviation from the standard form.""
}",['metaplasms'],"{
  ""Properties"": [""metaplasms""],
  ""Explanation"": ""The use of the word 'Temur' instead of the more common 'Tamerlane' is a form of metaplasm, emphasizing a deviation from the standard form.""
}",['metaplasms'],[],['metaplasms'],-1,[],"{
  ""Properties"": [""metaplasms""],
  ""Explanation"": ""The word 'signalise' is a metaplasm of 'signalize', emphasizing a deviation from the standard form.""
}",['metaplasms'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'great' before 'Temur' emphasizes his desire for glory and conquest, suggesting more than is actually stated.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'great' before 'Temur' emphasizes his desire for glory and greatness in his conquests, suggesting more than is actually stated.""
}",['emphasis'],0
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Figures_of_word_choice,[],['emphasis'],['emphasis'],"{
  ""Properties"": [""polyptoton""],
  ""Explanation"": ""The repetition of 'take' and 'worth' in different forms ('take' and 'taken', 'worth' and 'worth')"" 
}",['polyptoton'],"``` 

{
  ""Properties"": [""anatanaclasis""],
  ""Explanation"": ""The use of the word 'word' is repeated but has different meanings in each instance, creating a pun.""
}
```",['anatanaclasis'],"``` 
{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of leading words like 'seems to be worth' suggests more than is actually stated, allowing for deniability.""
}
```",['emphasis'],['emphasis'],['polyptoton'],-1,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'astoundingly brazen lie' emphasizes the speaker's disbelief and skepticism towards the Pope's statement, suggesting that there is more to the situation than what is being stated.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of leading words 'astoundingly brazen lie' suggests more than is actually stated, allowing the speaker to benefit from an implication while allowing deniability.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of leading words 'astoundingly brazen lie' suggests more than is actually stated, allowing the speaker to benefit from an implication while allowing deniability.""
}",['emphasis'],1
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_word_choice,['emphasis'],[],[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' suggests a stronger emotion than just 'bad' or 'unfortunate', allowing the speaker to benefit from an implication while allowing deniability.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The word 'horrifying' is used to emphasize the speaker's strong reaction to the verdict, suggesting more than is actually stated.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' suggests a strong negative reaction to the verdict without explicitly stating it, allowing for deniability if needed.""
}",['emphasis'],[],['emphasis'],-1,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' suggests a strong negative reaction to the verdict, allowing for implication without directly stating his opinion.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' emphasizes the strong negative reaction of Ben Shapiro to the verdict, suggesting more than is actually stated.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' suggests a strong negative reaction to the verdict, allowing the speaker to benefit from the implication while allowing deniability.""
}",['emphasis'],1
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Figures_of_word_choice,"['emphasis', 'synonyms']",[],[],"``` 
        {
            ""Properties"": [""metaplasms"", ""rhetorical conditional""],
            ""Explanation"": ""The use of 'akin' instead of 'like' is a metaplasm, demonstrating a deviation from the standard form. The phrase 'could cause violence and disrupt community cohesion' is a rhetorical conditional, as it presents an if/then statement with an absurd antecedent.""
        }
```","['metaplasms', 'rhetorical_conditional']","{
  ""Properties"": [""metaplasms"", ""emphasis""],
  ""Explanation"": ""The use of 'akim' instead of 'akin' in the phrase 'looking akin to' is an example of metaplasms. The choice of words such as 'could cause violence' and 'disrupt community cohesion' suggests more than is actually stated, emphasizing the potential negative impact of the speaker's actions.""
}","['metaplasms', 'emphasis']","{
  ""Properties"": [""metaplasms"", ""synonyms""],
  ""Explanation"": ""The use of 'akin to' instead of 'like' is a metaplasm, while the substitution of 'detention centre' for 'typical American prison' is an example of synonyms, which changes the connotation.""
}","['metaplasms', 'synonyms']",[],"['metaplasms', 'rhetorical_conditional']",-1,[],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of 'could cause violence and disrupt community cohesion' forms a rhetorical conditional, suggesting a potential consequence if the action of speaking at Hyde Park were to occur.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'akin' emphasizes the similarity between the detention center and a typical American prison, suggesting a negative connotation without explicitly stating it.""
}",['emphasis'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of 'could cause violence and disrupt community cohesion' is a rhetorical conditional, presenting a hypothetical situation that is unlikely or absurd.""
}",['rhetorical_conditional'],0
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Figures_of_word_choice,"['emphasis', 'polyptoton']",['emphasis'],['emphasis'],"{
  ""Properties"": [""rhetorical conditional"", ""emphasis""],
  ""Explanation"": ""The sentence contains a rhetorical conditional ('if/then' statement) and the use of leading words that suggest more than is actually stated, allowing for implications without direct accusation.""
}","['rhetorical_conditional', 'emphasis']","{
  ""Properties"": [""synonyms""],
  ""Explanation"": ""The use of 'safeguard against' instead of 'prevent' or 'prohibit' changes the connotation and implies a more proactive effort to protect against 'cashing in' on official position.""
}",['synonyms'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'cashing in' and 'official position for political purposes' suggests more than is actually stated, allowing for implication and plausible deniability.""
}",['emphasis'],['emphasis'],"['rhetorical_conditional', 'emphasis']",0,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'cashing in' emphasizes the idea of personal gain and implies unethical behavior without directly stating it.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'cashing in' emphasizes the idea of personal gain and implies unethical behavior without explicitly stating it, allowing for deniability.""
}",['emphasis'],timeout,[],1
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Figures_of_word_choice,['emphasis'],[],[],"{
  ""Properties"": [""correctio""],
  ""Explanation"": ""The use of 'declarations made' followed by 'a prelate' suggests a correction or alternative interpretation, allowing the speaker to introduce different connotations.""
}",['correctio'],"{
  ""Properties"": [""emphasis"", ""rhetorical conditional""],
  ""Explanation"": ""The use of leading words 'must be totally taken to heart' suggests more than is actually stated, allowing for deniability. The statement also contains a rhetorical conditional with 'must be' implying an absurd antecedent if not followed.""
}","['emphasis', 'rhetorical_conditional']","{
  ""Properties"": [""metaplasms"", ""synonyms""],
  ""Explanation"": ""The use of 'prelate' instead of 'official' is a form of metaplasm, emphasizing the specific authority of the individual. Additionally, the substitution of 'official' with 'prelate' is a use of synonyms to alter the connotation of the sentence.""
}","['metaplasms', 'synonyms']",[],['correctio'],-1,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'totally taken to heart' emphasizes the importance and seriousness of Archbishop Carlo Maria Viganò's declarations, suggesting that they should be given utmost consideration and attention.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'totally taken to heart' emphasizes the importance and seriousness of Archbishop Carlo Maria Viganò's declarations, suggesting that they should not be taken lightly.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'totally taken to heart' emphasizes the importance and seriousness of Archbishop Carlo Maria Viganò's declarations, suggesting that they should not be taken lightly.""
}",['emphasis'],1
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Figures_of_word_choice,['ploce'],[],['emphasis'],"{
  ""Properties"": [""correctio""],
  ""Explanation"": ""The speaker makes a mistake by saying 'neither notes nor memories are infallible' and then corrects it by stating that 'the content of the written notes usually prevails'. This deliberate mistake and correction introduces an alternative connotation or interpretation.""
}",['correctio'],"{
  ""Properties"": [""ploce""],
  ""Explanation"": ""The word 'notes' is repeated throughout the passage to emphasize its importance in the context of the statement.""
}",['ploce'],"```json
{
  ""Properties"": [""correctio"", ""emphasis""],
  ""Explanation"": ""The speaker uses the phrase 'neither notes nor memories' and then immediately corrects themselves by stating 'the content of the written notes usually prevails', thereby introducing an alternative connotation and implying that written notes are more reliable.""
}
```","['correctio', 'emphasis']",['ploce'],['correctio'],-1,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'I can tell you' emphasizes the speaker's authority and experience, suggesting that the following statement is based on firsthand knowledge and should be taken seriously.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'I can tell you' emphasizes the speaker's authority and experience, suggesting that their statement is based on firsthand knowledge and expertise.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'I can tell you' emphasizes the speaker's authority and experience, suggesting that their statement is based on firsthand knowledge and expertise.""
}",['emphasis'],1
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Figures_of_word_choice,"['emphasis', 'ploce']","['emphasis', 'ploce']",['emphasis'],"{
  ""Properties"": [
    ""ploce"",
    ""emphasis""
  ],
  ""Explanation"": ""The repetition of 'thousands and thousands and thousands and thousands' is an example of ploce. The emphasis on Louis Farrakhan being an outstanding human being and playing a big role in the lives of thousands of people is an example of emphasis, where leading words suggest more than is actually stated.""
}","['ploce', 'emphasis']","```json
        {
            ""Properties"": [""ploce"", ""emphasis""],
            ""Explanation"": ""The repetition of 'thousands and thousands and thousands and thousands' is an example of ploce. The emphasis on Farrakhan being 'an outstanding human being' and 'who commands a following of individuals who are learned and articulate' is an example of emphasis.""
        }
```","['ploce', 'emphasis']","{
  ""Properties"": [""anatanaclasis"", ""emphasis""],
  ""Explanation"": ""The use of 'outstanding' with two different meanings in the same sentence is an example of anatanaclasis, and the repetition of 'thousands and thousands' emphasizes the large number of people influenced by Farrakhan.""
}","['anatanaclasis', 'emphasis']","['emphasis', 'ploce']","['ploce', 'emphasis']",0,[],"{
  ""Properties"": [""ploce"", ""emphasis""],
  ""Explanation"": ""The use of repetition ('thousands and thousands and thousands and thousands') is an example of ploce. The speaker also uses leading words ('outstanding', 'learned', 'articulate') to emphasize Farrakhan's positive qualities without explicitly stating them, demonstrating emphasis.""
}","['ploce', 'emphasis']","{
  ""Properties"": [""ploce"", ""emphasis""],
  ""Explanation"": ""The use of 'thousands and thousands and thousands and thousands' is an example of ploce, the repetition of the word 'thousands'. This repetition emphasizes the large number of people influenced by Louis Farrakhan, adding emphasis to the speaker's point.""
}","['ploce', 'emphasis']","{
  ""Properties"": [""ploce"", ""emphasis""],
  ""Explanation"": ""The use of the phrase 'thousands and thousands and thousands and thousands' is an example of ploce, as it repeats the word 'thousands' for emphasis. The speaker also uses emphasis to highlight the significance of Louis Farrakhan's influence.""
}","['ploce', 'emphasis']",1
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Figures_of_word_choice,['emphasis'],[],[],"``` 
{
  ""Properties"": [""metaplasms""],
  ""Explanation"": ""The word 'signer' is constructed by adding or changing letters (subtracting the 'e' and adding 'er') in the standard form of the word 'sign'. This emphasizes a deviation from the standard form.""
}
```",['metaplasms'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of 'said' implies that a statement or quote will follow, creating a conditional expectation for the reader.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The phrase 'the first signer' introduces a rhetorical conditional as it implies that there were multiple signers, which is a fact.""
}",['rhetorical_conditional'],[],['rhetorical_conditional'],-1,[],"{
  ""Properties"": [""agnominatio""],
  ""Explanation"": ""The use of 'John Hancock' as a play on words, referring to both the historical figure and also as a way to indicate a signature, is an example of agnominatio.""
}",['agnominatio'],"{
  ""Properties"": [""correctio""],
  ""Explanation"": ""The use of 'the first signer' followed by 'of the Declaration of Independence' corrects the potential misunderstanding that John Hancock was the first person to sign any document, by specifying the specific document.""
}",['correctio'],"{
  ""Properties"": [""correctio""],
  ""Explanation"": ""The use of 'the first signer' followed by the correction 'of the Declaration of Independence' is an example of correctio, deliberately making a mistake and then immediately correcting it.""
}",['correctio'],0
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Figures_of_word_choice,['emphasis'],[],['emphasis'],"{
  ""Properties"": [""ploce"", ""emphasis""],
  ""Explanation"": ""The repetition of the word 'her' in the sentence emphasizes the speaker's belief in Ms. Ford's truthfulness and adds emphasis to the statement, making it more convincing.""
}","['ploce', 'emphasis']","``` 
{
  ""Properties"": [""ploce"", ""emphasis""],
  ""Explanation"": ""The repetition of 'her' and the use of leading words like 'you know it' suggest a use of ploce and emphasis in the example text.""
}
```","['ploce', 'emphasis']","``` 
{
  ""Properties"": [""ploce"", ""emphasis""],
  ""Explanation"": ""The repetition of 'her' and 'truth' throughout the passage is an example of ploce. The emphasis placed on 'you know it' suggests more than is actually stated, making use of emphasis.""
}
```","['ploce', 'emphasis']",['emphasis'],"['ploce', 'emphasis']",0,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'you know it' suggests that the speaker is emphasizing the truth of Ms. Ford's story without explicitly stating it. This allows for deniability while still conveying the implication.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'you know it' emphasizes the speaker's belief in Ms. Ford's truthfulness without explicitly stating it, allowing for deniability.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'you know it' implies that the listener should already be aware of the truth, adding emphasis to the speaker's belief in Ms. Ford's story.""
}",['emphasis'],1
