sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,gpt3.5_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Language_of_origin,['Latin/Greek'],['Latin/Greek'],['Latin/Greek'],"{
  ""Properties"": [""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains terms associated with military ('doctors', 'infidels', 'glory', 'conquests') that are of Norman French origin, and also includes words deriving from Latin ('advises', 'tradition', 'greatness').""
}","['Norman_French', 'Latin/Greek']","{
  ""Properties"": [
    ""Norman French""
  ],
  ""Explanation"": ""The word 'exterminate' is of Norman French origin, which is seen in many legal and military terms used in the example text.""
}",['Norman_French'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The text contains words that have originated from Norman French, such as 'tradition', 'glory', and 'conquests'.""
}",['Norman_French'],['Latin/Greek'],['Norman_French'],-1,[],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of the term 'conquest' in the text is an example of a word that came from Norman French, which is often associated with military terms and conquests.""
}",['Norman_French'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of the word 'conquest' in the text is an example of a term associated with military endeavors that came from the Norman French language.""
}",['Norman_French'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of the word 'exterminate' in the context of conquests reflects the influence of Norman French, which contributed many military terms to the English language.""
}",['Norman_French'],1
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Language_of_origin,['Old_English_Core'],['Latin/Greek'],['Latin/Greek'],"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains simple and frequently used words, which are characteristic of Old English Core. It also includes words deriving from Latin, such as 'evidence', 'activity', 'assurance', and 'worth'.""
}","['Old_English_Core', 'Latin/Greek']","``` 
{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains simple and frequently used words, indicating the use of Old English Core. It also includes words derived from Latin, which is common in contemporary English.""
}
```","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains simple and frequently used words like 'word', 'but', 'for', which are part of the Old English Core. It also includes words derived from Latin/Greek like 'evidence', 'homosexual', 'activity'.""
}","['Old_English_Core', 'Latin/Greek']",['Latin/Greek'],"['Old_English_Core', 'Latin/Greek']",0,[],"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English core such as 'word', 'lie', 'evidence', and also includes words derived from Latin/Greek such as 'assurance', 'activity'.""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English core ('word', 'it', 'for', 'but') and also includes words derived from Latin ('evidence', 'activity', 'assurance', 'worth').""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English core (e.g., 'word', 'it') and also includes words derived from Latin/Greek (e.g., 'evidence', 'homosexual', 'activity').""
}","['Old_English_Core', 'Latin/Greek']",1
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Language_of_origin,['Norman_French'],['Latin/Greek'],['Norman_French'],"{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The use of simple and frequently used words from Old English Core is evident in words like 'told' and 'was', while the influence of Norman French can be seen in the word 'verdict'.""
}","['Old_English_Core', 'Norman_French']","``` 
        {
            ""Properties"": [""Norman French""],
            ""Explanation"": ""The word 'verdict' is of Norman French origin, which is evident in its use in legal contexts.""
        }
```",['Norman_French'],"{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The text contains simple and frequently used words from Old English Core, such as 'conservative' and 'told', as well as words that came from Norman French, such as 'verdict' and 'horrifying'.""
}","['Old_English_Core', 'Norman_French']",['Norman_French'],"['Old_English_Core', 'Norman_French']",0,[],"{
  ""Properties"": [""Old English Core""]
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence contains words from the Old English core, such as 'conservative', 'verdict', and 'horrifying'. These are simple and frequently used words in contemporary English.""
}",['Old_English_Core'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The word 'verdict' comes from Norman French, which is evident in legal terminology.""
}",['Norman_French'],0
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Language_of_origin,['Latin/Greek'],[],['Latin/Greek'],"{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words of Old English origin such as 'according', Norman French origin such as 'described', and Latin/Greek origin such as 'detention', 'violence', and 'community'.""
}","['Old_English_Core', 'Norman_French', 'Latin/Greek']","{
    ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""],
    ""Explanation"": ""The text uses words from the Old English Core (such as 'according', 'who', 'the', 'as', 'a', 'to', 'and'), Norman French (such as 'described', 'detention', 'centre', 'American', 'said', 'violence', 'community'), and Latin/Greek (such as 'according', 'described', 'violence', 'community', 'cohesion').""
}","['Old_English_Core', 'Norman_French', 'Latin/Greek']","{
  ""Properties"": [
    ""Old English Core"",
    ""Norman French""
  ],
  ""Explanation"": ""The text contains words with Old English Core such as 'according', 'the', 'who', 'the', and also contains words of Norman French origin like 'described', 'detention', 'centre', 'authorities', 'violence', and 'community'.""
}","['Old_English_Core', 'Norman_French']",['Latin/Greek'],"['Old_English_Core', 'Norman_French', 'Latin/Greek']",0,[],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The text contains the Norman French term 'detention centre', which is commonly used in legal and military contexts.""
}",['Norman_French'],"{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core (e.g., 'detention', 'centre', 'American', 'prison'), Norman French (e.g., 'violence', 'community', 'cohesion'), and Latin/Greek (e.g., 'authorities', 'speaking', 'violence', 'disrupt').""
}","['Old_English_Core', 'Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of the word 'detention centre' likely comes from Norman French, as legal and administrative terms often do.""
}",['Norman_French'],0
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Language_of_origin,['Latin/Greek'],['Old_English_Core'],"['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words of Norman French origin, such as 'violation', 'ethics', 'official', and also contains words of Latin origin, such as 'appearance', 'actuality', 'official', 'political', and 'director'.""
}","['Norman_French', 'Latin/Greek']","{
  ""Properties"": [
    ""Norman French"",
    ""Latin/Greek""
  ],
  ""Explanation"": ""The text contains words derived from Norman French (e.g. 'violation', 'ethics', 'official', 'director') and Latin/Greek (e.g. 'ethics', 'official', 'political', 'director').""
}","['Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text uses Norman French-derived words such as 'violation', 'ethics', 'official', and Latin/Greek-derived words such as 'appearance', 'actualitly', 'political'.""
}","['Norman_French', 'Latin/Greek']",['Latin/Greek'],"['Norman_French', 'Latin/Greek']",0,[],"{
  ""Properties"": [""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words of Norman French origin such as 'violation' and 'ethics', as well as words of Latin/Greek origin such as 'safeguard', 'appearance', and 'official'.""
}","['Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The use of 'violation', 'ethics', 'safeguard', 'appearance', 'official', 'political', and 'executive' reflects the influence of Norman French and Latin/Greek in the text.""
}","['Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The use of 'violation', 'ethics', 'safeguard', 'appearance', 'official', 'political', and 'executive' reflects the influence of Norman French and Latin/Greek in the text.""
}","['Norman_French', 'Latin/Greek']",1
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Language_of_origin,['Latin/Greek'],['Latin/Greek'],"['Old_English_Core', 'Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The presence of the word 'prelate' in the text indicates the use of Norman French, as it is a term associated with the Church that came from the Norman French conquest.""
}",['Norman_French'],"{
   ""Properties"": [""Norman French"", ""Latin/Greek""],
   ""Explanation"": ""The use of 'declarations', 'prelate', 'authority', 'Archbishop', 'totally', 'responsible', and 'Church' shows the influence of Norman French and Latin/Greek in the example text.""
}","['Norman_French', 'Latin/Greek']","{
	""Properties"": [""Old English Core"", ""Latin/Greek""],
	""Explanation"": ""The text contains simple and frequently used words (Old English Core) and also includes words of Latin origin commonly used in the Church (Latin/Greek).""
}","['Old_English_Core', 'Latin/Greek']",['Latin/Greek'],['Norman_French'],-1,[],"{
  ""Properties"": [""Latin/Greek""],
  ""Explanation"": ""The use of words like 'prelate', 'authority', 'archbishop', and 'declarations' in the statement indicates the influence of Latin in the language used.""
}",['Latin/Greek'],"{
  ""Properties"": [
    ""Latin/Greek""
  ],
  ""Explanation"": ""The use of words like 'prelate', 'authority', 'Archbishop', and 'Church' in the statement reflects the influence of Latin in the language of origin.""
}",['Latin/Greek'],"{
  ""Properties"": [""Latin/Greek""],
  ""Explanation"": ""The use of words like 'prelate', 'authority', 'declarations', and 'responsible' in the statement indicates the influence of Latin in the language used.""
}",['Latin/Greek'],1
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Language_of_origin,['Latin/Greek'],[],[],"{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from Old English (e.g. 'former', 'content'), Norman French (e.g. 'contest', 'verbal'), and Latin/Greek (e.g. 'memories', 'testimony').""
}","['Old_English_Core', 'Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The term 'trial' in 'former trial lawyer' and legal terms like 'verbal testimony' and 'contemporaneous' have their origins in Norman French, which has influenced the English language in the legal domain.""
}",['Norman_French'],"{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The text contains words like 'contest' and 'verbal' derived from Old English, and 'testimony' and 'prevails' derived from Norman French.""
}","['Old_English_Core', 'Norman_French']",[],"['Old_English_Core', 'Norman_French', 'Latin/Greek']",-1,[],"{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core ('notes', 'verbal', 'content', 'written') as well as terms from Norman French ('contest', 'verbal', 'testimony') and Latin/Greek ('contemporaneous', 'testimony').""
}","['Old_English_Core', 'Norman_French', 'Latin/Greek']","{
  ""Properties"": [
    ""Old English Core"",
    ""Norman French""
  ],
  ""Explanation"": ""The text contains words like 'contest', 'verbal', 'content' which are part of the Old English core, and the legal terms 'contemporaneous', 'testimony' which are derived from Norman French.""
}","['Old_English_Core', 'Norman_French']","{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The text contains words from the Old English Core ('notes', 'memories', 'content') and Norman French ('contest', 'verbal', 'testimony').""
}","['Old_English_Core', 'Norman_French']",0
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Language_of_origin,['Old_English_Core'],['Old_English_Core'],['Old_English_Core'],"{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The example text uses words from the Old English core vocabulary, such as 'regard', and also includes words derived from Norman French, such as 'aberration' and 'emphasized'.""
}","['Old_English_Core', 'Norman_French']","{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The text contains simple and frequently used words that are part of the Old English Core, such as 'I', 'don't', 'as', 'an', 'and', 'a', 'of', 'who', 'are', 'he', 'in', 'the', 'of', and 'and'.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The text contains simple and frequently used words (Old English Core), and it also includes terms associated with authority and luxury that are rooted in Norman French."" 
}","['Old_English_Core', 'Norman_French']",['Old_English_Core'],"['Old_English_Core', 'Norman_French']",0,[],"{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core (e.g., 'regard', 'human', 'individuals'), Norman French (e.g., 'aberration', 'outstanding', 'following'), and Latin/Greek (e.g., 'articulate', 'emphasized').""
}","['Old_English_Core', 'Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core (e.g., 'regard', 'outstanding', 'individuals') and Latin/Greek (e.g., 'aberration', 'articulate', 'individuals').""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The text contains simple and frequently used words such as 'regard', 'outstanding', 'human being', 'commands', 'following', 'individuals', 'learned', 'articulate', 'plays', 'big', 'role', 'lives', 'thousands'. These words are part of the Old English core vocabulary.""
}",['Old_English_Core'],0
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Language_of_origin,['Old_English_Core'],['Old_English_Core'],['Old_English_Core'],"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text includes simple and frequently used words from Old English Core, as well as words derived from Latin/Greek which are commonly used in contemporary English.""
}","['Old_English_Core', 'Latin/Greek']","```json
        {
            ""Properties"": [""Old English Core""],
            ""Explanation"": ""The example text contains simple and frequently used words, which are the core of Old English.""
        }
```",['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The example text contains simple and frequently used words, which are characteristic of the Old English Core.""
}",['Old_English_Core'],['Old_English_Core'],['Old_English_Core'],1,[],"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core, such as 'the', 'of', and 'the', as well as words derived from Latin/Greek, such as 'Declaration', 'Independence', and 'signer'.""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core, such as 'the', 'of', 'the', 'first', and also includes words derived from Latin/Greek, such as 'Declaration', 'Independence', and 'signer'.""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core, such as 'the', 'of', 'the', and also includes words derived from Latin/Greek, such as 'Declaration', 'Independence'.""
}","['Old_English_Core', 'Latin/Greek']",1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Language_of_origin,['Old_English_Core'],['Old_English_Core'],['Old_English_Core'],"{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The text includes words from the Old English core (e.g. 'she', 'said', 'her') and Norman French (e.g. 'Thursday', 'Ms.', 'believe', 'truth', 'story').""
}","['Old_English_Core', 'Norman_French']","{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The example text includes the Norman French-derived word 'Thursday'.""
}",['Norman_French'],"{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The use of simple and frequently used words from Old English Core, as well as the presence of 'Ms.' (which is a shortened form of the Norman French term 'mistress'), indicate the use of these language properties in the example text.""
}","['Old_English_Core', 'Norman_French']",['Old_English_Core'],"['Old_English_Core', 'Norman_French']",0,[],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The example contains simple and frequently used words such as 'she', 'said', 'Thursday', 'I', 'believe', 'her', 'is', 'telling', 'the', 'truth', 'and', 'you', 'know', 'it', 'by', 'story'.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence contains simple and frequently used words such as 'she', 'said', 'Thursday', 'I', 'believe', 'her', 'is', 'telling', 'the', 'truth', 'and', 'you', 'know', 'it', 'by', 'story'.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The use of simple and frequently used words like 'she', 'said', 'Thursday', and 'her' reflects the Old English core, while the use of 'regarding' and 'story' reflects the influence of Norman French.""
}","['Old_English_Core', 'Norman_French']",0
