sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,gpt3.5_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity']","{
  ""Properties"": [""clarity"", ""high"", ""allusions""],
  ""Explanation"": ""The text is written in formal English, making it clear and understandable to a wider audience, and it contains an allusion to the tradition of the Muslim doctors, requiring cultural knowledge to fully understand.""
}","['clarity', 'high', 'allusions']","{
  ""Properties"": [""correctness"", ""appropriateness"", ""allusions""],
  ""Explanation"": ""The text is grammatically correct, culturally appropriate, and contains an allusion to the tradition of the Muslim doctors.""
}","['correctness', 'appropriateness', 'allusions']","{
  ""Properties"": [""correctness"", ""clarity"", ""allusions""],
  ""Explanation"": ""The text is well formed grammatically and is understandable to the intended audience. It also contains an allusion to the tradition of the Muslim doctors, requiring cultural knowledge to fully understand.""
}","['correctness', 'clarity', 'allusions']","['correctness', 'clarity']","['clarity', 'high', 'allusions']",0,[],"{
  ""Properties"": [""allusions""],
  ""Explanation"": ""The text makes an allusion to the tradition of the Muslim doctors and the actions of Temur, requiring cultural knowledge to fully understand the reference.""
}",['allusions'],"{
  ""Properties"": [""allusions""],
  ""Explanation"": ""The text makes an allusion to the tradition of the Muslim doctors and the actions of Temur, requiring cultural knowledge to fully understand the reference.""
}",['allusions'],"{
  ""Properties"": [""allusions""],
  ""Explanation"": ""The text makes an allusion to the tradition of the Muslim doctors and the actions of Temur, requiring cultural knowledge to fully understand the reference.""
}",['allusions'],1
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Language_varieties,"['correctness', 'forcefulness']","['correctness', 'clarity', 'forcefulness']","['correctness', 'clarity']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""allusions""],
  ""Explanation"": ""The text is grammatically well-formed, understandable to the intended audience, uses striking expression to reinforce the message, and makes an allusion to the pope's previous lie.""
}","['correctness', 'clarity', 'forcefulness', 'allusions']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""middle""],
  ""Explanation"": ""The text is well-formed grammatically, understandable, uses standard edited American English, and contains a forceful expression that reinforces the message.""
}","['correctness', 'clarity', 'forcefulness', 'middle']","{
  ""Properties"": [
    ""correctness"",
    ""clarity"",
    ""forcefulness"",
    ""allusions""
  ],
  ""Explanation"": ""The text is well formed grammatically, understandable to the intended audience, includes memorable or striking expression, and makes an allusion to the pope's credibility.""
}","['correctness', 'clarity', 'forcefulness', 'allusions']","['correctness', 'forcefulness']","['correctness', 'clarity', 'forcefulness', 'allusions']",0,[],"{
  ""Properties"": [""clarity"", ""forcefulness"", ""appropriateness""]
}","['clarity', 'forcefulness', 'appropriateness']","{
  ""Properties"": [""clarity"", ""forcefulness"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, uses forceful language to convey skepticism, and is appropriate in its critical tone towards the subject matter.""
}","['clarity', 'forcefulness', 'appropriateness']","{
  ""Properties"": [""clarity"", ""forcefulness"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, uses forceful language to convey skepticism, and is appropriate in its critical tone towards the subject matter.""
}","['clarity', 'forcefulness', 'appropriateness']",1
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'middle']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable, using appropriate language for the context of a news report.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""middle""],
  ""Explanation"": ""The text is clear and easily understandable for the intended audience, and it uses standard edited American English.""
}","['clarity', 'middle']","``` 
{
  ""Properties"": [""clarity"", ""middle""],
  ""Explanation"": ""The text is easily understandable and uses standard edited American English""
}
```","['clarity', 'middle']","['correctness', 'clarity']","['clarity', 'middle']",0,[],"{
  ""Properties"": [""clarity""],
  ""Explanation"": ""The sentence is clear and understandable to the intended audience, using standard language and structure.""
}",['clarity'],"{
  ""Properties"": [""clarity"", ""forcefulness""],
  ""Explanation"": ""The statement is clear and easily understandable to the intended audience, and it conveys a strong emotional reaction, making it forceful.""
}","['clarity', 'forcefulness']","{
  ""Properties"": [""clarity"", ""forcefulness""],
  ""Explanation"": ""The statement is clear and easily understandable to the intended audience, and it conveys a strong emotional reaction, making it forceful.""
}","['clarity', 'forcefulness']",0
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Language_varieties,"['clarity', 'forcefulness', 'appropriateness']","['correctness', 'clarity']","['correctness', 'clarity', 'middle']","{
    ""Properties"": [
        ""correctness"",
        ""clarity"",
        ""appropriateness""
    ],
    ""Explanation"": ""The text is well-formed grammatically, understandable, and tied to cultural norms of propriety.""
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [
    ""clarity"",
    ""middle""
  ],
  ""Explanation"": ""The text is written in Standard Edited American English and is clearly understandable to the intended audience.""
}","['clarity', 'middle']","``` 
{
  ""Properties"": [""correctness"", ""appropriateness"", ""middle"", ""allusions""],
  ""Explanation"": ""The text is well formed grammatically and follows the conventions of standard edited American English. It is also appropriate for a news text and makes an allusion to a typical American prison.""
}
```","['correctness', 'appropriateness', 'middle', 'allusions']","['clarity', 'forcefulness', 'appropriateness']","['correctness', 'clarity', 'appropriateness']",0,[],"{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it adheres to the cultural norms of propriety by using language appropriate for a news report.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it adheres to the cultural norms of propriety by using appropriate language for the context.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it is appropriate in its use of language for the context of a news report.""
}","['clarity', 'appropriateness']",1
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Language_varieties,"['clarity', 'low']","['correctness', 'clarity']","['middle', 'correctness', 'clarity', 'appropriateness', 'forcefulness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience (those familiar with political language). It is also appropriate in the context of a formal statement about Senate Ethics rules.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is grammatically correct, clear, and appropriate for the formal context of discussing Senate Ethics rules.""
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""appropriateness"", ""middle""],
  ""Explanation"": ""The text is well formed grammatically, understandable to the intended audience, uses formal and widely accepted conventions, and reinforces its message by using strong language against a violation of ethics.""
}","['correctness', 'clarity', 'forcefulness', 'appropriateness', 'middle']","['clarity', 'low']","['clarity', 'appropriateness']",0,[],"{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The statement is clear and easily understandable to the intended audience. It is also appropriate in its use of language for discussing a serious matter related to Senate Ethics rules.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness"", ""forcefulness""],
  ""Explanation"": ""The statement is clear and easily understandable to the intended audience. It is also appropriate in its use of formal language to discuss Senate Ethics rules. The use of the phrase 'cashing in' is forceful and memorable, reinforcing the message.""
}","['clarity', 'appropriateness', 'forcefulness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and easily understandable to the intended audience. It also adheres to the cultural norms of propriety by using formal language to discuss a serious matter related to Senate Ethics rules.""
}","['clarity', 'appropriateness']",0
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'high', 'forcefulness']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is well-formed grammatically, understandable, and tied to the cultural norms of propriety within the context of the Church.""
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is well-formed grammatically, clear and understandable to the intended audience, and appropriate for a formal statement by a high-ranking religious figure.""
}","['correctness', 'clarity', 'appropriateness']","{
    ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""high""],
    ""Explanation"": ""The text is grammatically correct and uses formal language typical of scholarly publications. It is clear and forceful in its expression, conveying a strong message to the intended audience.""
}","['correctness', 'clarity', 'forcefulness', 'high']","['correctness', 'clarity']","['correctness', 'clarity', 'appropriateness']",0,[],"{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The statement is clear and understandable to the intended audience, and it is appropriate in the context of a formal declaration within the Church.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""appropriateness"", ""clarity"", ""high""]
}

 	","['appropriateness', 'clarity', 'high']","{
  ""Properties"": [""clarity"", ""appropriateness"", ""high""]
}

 	","['clarity', 'appropriateness', 'high']",0
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'forcefulness', 'middle']","{
  ""Properties"": [
    ""correctness"",
    ""clarity"",
    ""forcefulness"",
    ""appropriateness"",
    ""high""
  ],
  ""Explanation"": ""The text is well-formed grammatically (correctness), understandable to the intended audience (clarity), uses memorable and striking expressions (forcefulness), is tied to the cultural norms of propriety (appropriateness), and is written in formal English (high)."" 
}","['correctness', 'clarity', 'forcefulness', 'appropriateness', 'high']","``` 
        {
            ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""middle""],
            ""Explanation"": ""The text is well formed grammatically, understandable to the intended audience, and uses standard edited American English, typical of reputable newspapers.""
        }
```","['correctness', 'clarity', 'forcefulness', 'middle']",timeout,[],"['correctness', 'clarity']","['correctness', 'clarity', 'forcefulness', 'appropriateness', 'high']",0,[],"{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""maxims/proverbs""]
}

 	","['correctness', 'clarity', 'forcefulness', 'maxims/proverbs']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""maxims/proverbs""]
}","['correctness', 'clarity', 'forcefulness', 'maxims/proverbs']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""appropriateness""]
}","['correctness', 'clarity', 'forcefulness', 'appropriateness']",0
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'forcefulness', 'middle']","{
  ""Properties"": [""clarity"", ""appropriateness"", ""middle"", ""maxims/proverbs""],
  ""Explanation"": ""The text is written in standard edited English and is clear and appropriate for a news audience. It also contains a phrase expressing common wisdom: 'I don’t regard Louis Farrakhan as an aberration or anything.'""
}","['clarity', 'appropriateness', 'middle', 'maxims/proverbs']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""middle""],
  ""Explanation"": ""The text is grammatically correct, understandable, emphasizes a message, and uses Standard Edited American English.""
}","['correctness', 'clarity', 'forcefulness', 'middle']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness"", ""middle""],
  ""Explanation"": ""The text is grammatically correct, understandable to the intended audience, tied to cultural norms of propriety, and written in standard edited American English.""
}","['correctness', 'clarity', 'appropriateness', 'middle']","['correctness', 'clarity']","['clarity', 'appropriateness', 'middle', 'maxims/proverbs']",0,[],"{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it adheres to cultural norms of propriety by using formal language to discuss a sensitive topic.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it is appropriate in its cultural and social context.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it adheres to cultural norms of propriety by using formal language to discuss a sensitive topic.""
}","['clarity', 'appropriateness']",1
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Language_varieties,"['correctness', 'clarity', 'high']","['correctness', 'clarity']","['correctness', 'clarity']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it is appropriate for the formal tone required when discussing historical figures and documents.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity""],
  ""Explanation"": ""The text is well-formed grammatically and understandable to the intended audience.""
}","['correctness', 'clarity']","{
  ""Properties"": [""correctness"", ""middle""],
  ""Explanation"": ""The text is well formed grammatically and uses standard edited American English.""
}","['correctness', 'middle']","['correctness', 'clarity']","['clarity', 'appropriateness']",0,[],"{
  ""Properties"": [""maxims/proverbs""],
  ""Explanation"": ""The quote from John Hancock expresses common wisdom or a proverbial statement.""
}",['maxims/proverbs'],"{
  ""Properties"": [""maxims/proverbs""],
  ""Explanation"": ""The use of the quote from John Hancock qualifies as a maxim/proverb, as it expresses common wisdom or a well-known saying.""
}",['maxims/proverbs'],"{
  ""Properties"": [""maxims/proverbs""],
  ""Explanation"": ""The quote from John Hancock expresses common wisdom or a proverbial statement.""
}",['maxims/proverbs'],1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'forcefulness', 'middle']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness""],
  ""Explanation"": ""The text is well formed grammatically (correctness), understandable to the intended audience (clarity), and contains a forceful expression that reinforces the message.""
}","['correctness', 'clarity', 'forcefulness']","``` {
    ""Properties"": [""correctness"", ""clarity"", ""appropriateness"", ""middle""],
    ""Explanation"": ""The text is well formed grammatically, understandable to the intended audience, tied to cultural norms of propriety, and follows widely accepted conventions of Standard Edited American English.""
} ```","['correctness', 'clarity', 'appropriateness', 'middle']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness""],
  ""Explanation"": ""The text is well formed grammatically, understandable to the intended audience, and uses forceful language to reinforce the message.""
}","['correctness', 'clarity', 'forcefulness']","['correctness', 'clarity']","['correctness', 'clarity', 'forcefulness']",0,[],"{
  ""Properties"": [""clarity"", ""appropriateness""]
  ,
  ""Explanation"": ""The sentence is clear and understandable to the intended audience, and it adheres to the cultural norms of propriety by expressing belief and support for Ms. Ford's story.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""]
  ,
  ""Explanation"": ""The sentence is clear and understandable to the intended audience, and it adheres to the cultural norms of expressing belief and support for a person sharing their story of experience.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The sentence is clear and understandable to the intended audience, and it adheres to the cultural norms of expressing belief and support for a person sharing their story.""
}","['clarity', 'appropriateness']",1
