sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,gpt3.5_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Lexical_and_semantic_fields,['definite/hypothesis'],"['indefinite/thesis', 'definite/hypothesis']","['indefinite/thesis', 'abstract', 'definite/hypothesis']","{
  ""Properties"": [
    ""definite/hypothesis""
  ],
  ""Explanation"": ""The text refers to specific people and things, such as Muhammad, the Muslim doctors, and Temur, indicating a definite/hypothesis lexical and semantic field property.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people and traditions, such as Muhammad and the Muslim doctors, indicating a definite reference to specific things.""
}",['definite/hypothesis'],"{
  ""Properties"": [
    ""concrete"",
    ""definite/hypothesis""
  ],
  ""Explanation"": ""The text refers to specific people and actions, such as Muhammad, Temur, and their actions of exterminating infidels.""
}","['concrete', 'definite/hypothesis']",['definite/hypothesis'],['definite/hypothesis'],1,[],"{
  ""Properties"": [""prototype"", ""abstract""],
  ""Explanation"": ""The text contains a prototype in the form of 'Muhammad' representing a group (Muslim doctors), and it also discusses abstract concepts such as 'glory' and 'greatness of conquests'.""
}","['prototype', 'abstract']","{
  ""Properties"": [""prototype"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains a specific reference to 'Muhammad' and 'Temur', making it definite/hypothesis. Additionally, 'Muhammad' can be seen as a prototype for the tradition of Muslim doctors.""
}","['prototype', 'definite/hypothesis']","{
  ""Properties"": [""prototype"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains a specific reference to 'Muhammad' as a representative figure and 'the great Temur' as a specific historical individual, indicating the use of prototype and definite/hypothesis properties.""
}","['prototype', 'definite/hypothesis']",0
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Lexical_and_semantic_fields,"['abstract', 'definite/hypothesis']",['definite/hypothesis'],"['concrete', 'abstract', 'definite/hypothesis']","{
  ""Properties"": [""prototype"", ""abstract"", ""indefinite/thesis"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains prototypes such as 'pope', abstract concepts like 'astoundingly brazen lie', and indefinite/thesis language with phrases like 'we can take the assurance for what it seems to be worth.'""
}","['prototype', 'abstract', 'indefinite/thesis', 'definite/hypothesis']","{
  ""Properties"": [""prototype"", ""abstract"", ""concrete"", ""indefinite/thesis""],
  ""Explanation"": ""The text includes specific words like 'pope', 'Ricca', 'homosexual activity', as well as broader concepts like 'lie' and 'evidence', and also abstract concepts like 'assurance' and 'worth'. It also presents a general idea rather than a specific reference.""
}","['prototype', 'abstract', 'concrete', 'indefinite/thesis']","{
  ""Properties"": [""prototype"", ""abstract"", ""concrete""],
  ""Explanation"": ""The text includes specific concrete objects and actions such as 'pope', 'lie', 'evidence', and 'homosexual activity', as well as abstract concepts like 'assurance' and 'worth'."" 
}","['prototype', 'abstract', 'concrete']","['abstract', 'definite/hypothesis']","['prototype', 'abstract', 'indefinite/thesis', 'definite/hypothesis']",0,[],"{
  ""Properties"": [""abstract""],
  ""Explanation"": ""The text uses abstract language to discuss the concept of 'assurance' and 'evidence' without specific reference to concrete objects or actions.""
}",['abstract'],"{
  ""Properties"": [""prototype"", ""abstract""]
}

  ","['prototype', 'abstract']","{
  ""Properties"": [""abstract""],
  ""Explanation"": ""The text uses abstract language to discuss broad categories or relationships, such as 'the pope’s word' and 'Ricca’s homosexual activity'.""
}",['abstract'],0
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Lexical_and_semantic_fields,"['abstract', 'definite/hypothesis']","['concrete', 'definite/hypothesis']","['concrete', 'definite/hypothesis']","{
    ""Properties"": [""definite/hypothesis""],
    ""Explanation"": ""The text refers to specific individuals (Ben Shapiro, Fox news) and expresses a specific opinion ('horrifying verdict'), indicating the use of definite/hypothesis in the lexical and semantic fields.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The example text contains specific people ('Ben Shapiro') and a specific news outlet ('Fox news'), indicating the use of definite/hypothesis in the lexical and semantic fields.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The example text contains specific people (Conservative Ben Shapiro) and a specific event (verdict).""
}",['definite/hypothesis'],"['concrete', 'definite/hypothesis']",['definite/hypothesis'],0,[],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains a concrete reference to a specific person (Ben Shapiro) and a specific news outlet (Fox news).""
}",['concrete'],"{
  ""Properties"": [""prototype""],
  ""Explanation"": ""The use of the word 'conservative' in reference to Ben Shapiro can be seen as a prototype, representing a specific member of a group (conservatives) who holds a particular viewpoint.""
}",['prototype'],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains a concrete lexical field, as it refers to specific people and actions, such as 'Conservative Ben Shapiro' and 'Fox news'.""
}",['concrete'],0
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Lexical_and_semantic_fields,"['indefinite/thesis', 'concrete', 'abstract', 'definite/hypothesis']","['abstract', 'prototype', 'definite/hypothesis']",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text specifically mentions 'Sellner' and 'Hyde Park', making it definite/hypothesis.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people and things such as 'Sellner' and 'Hyde Park'.""
}",['definite/hypothesis'],"{
  ""Properties"": [
    ""prototype"",
    ""concrete"",
    ""definite/hypothesis""
  ],
  ""Explanation"": ""The text contains specific people (Sellner) and physical objects/actions (detention centre, speaking at Hyde Park), as well as a specific example of a group (typical American prison being a prototype of the detention centre).""
}","['prototype', 'concrete', 'definite/hypothesis']","['indefinite/thesis', 'concrete', 'abstract', 'definite/hypothesis']",['definite/hypothesis'],0,[],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains concrete language referring to physical objects and actions, such as 'detention centre', 'American prison', and 'Hyde Park'.""
}",['concrete'],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains concrete language referring to physical objects and actions, such as 'detention centre', 'American prison', and 'Hyde Park'.""
}",['concrete'],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains concrete language referring to physical objects and actions, such as 'detention centre', 'American prison', 'Hyde Park', and 'violence'.""
}",['concrete'],1
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Lexical_and_semantic_fields,"['definite/hypothesis', 'abstract', 'indefinite/thesis']",['definite/hypothesis'],"['concrete', 'abstract', 'definite/hypothesis']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people or things such as 'Senate Ethics rules' and 'Kendra Arnold', making it definite/hypothesis.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people (Senate Ethics rules, elected officials, Kendra Arnold, executive director of FACT) and a specific organization (FACT).""
}",['definite/hypothesis'],"{
  ""Properties"": [""concrete"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains specific physical objects and actions (violation, Senate Ethics rules, elected officials, official position) and specific people (Kendra Arnold, executive director of FACT).""
}","['concrete', 'definite/hypothesis']","['definite/hypothesis', 'abstract', 'indefinite/thesis']",['definite/hypothesis'],0,[],"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The use of 'the Senate Ethics rules' and 'elected officials' are specific and definite, indicating a definite reference to specific people and things. The mention of 'safeguard against the appearance or actuality of elected officials 'cashing in' on their official position for political purposes' is abstract, referring to a broad category or relationship.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people and things, such as 'the Senate Ethics rules' and 'Kendra Arnold, executive director of FACT.'""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The quote refers to specific Senate Ethics rules and a specific person, Kendra Arnold, making it a definite statement.""
}",['definite/hypothesis'],0
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Lexical_and_semantic_fields,"['indefinite/thesis', 'definite/hypothesis']",['definite/hypothesis'],['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people and their statements, such as Cardinal Raymond Burke and Archbishop Carlo Maria Viganò""
}",['definite/hypothesis'],"{
  ""Properties"": [""prototype"", ""definite/hypothesis""],
  ""Explanation"": ""The specific mention of Cardinal Raymond Burke and Archbishop Carlo Maria Viganò represent specific individuals, making use of the definite/hypothesis property. Additionally, the mention of a prelate as a representative figure for the Church implies the use of the prototype property.""
}","['prototype', 'definite/hypothesis']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people such as Cardinal Raymond Burke and Archbishop Carlo Maria Viganò.""
}",['definite/hypothesis'],['definite/hypothesis'],['definite/hypothesis'],1,[],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The statement refers to specific individuals such as Cardinal Raymond Burke, Archbishop Carlo Maria Viganò, and those responsible in the Church, making it definite/hypothesis.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The statement refers to specific individuals such as Cardinal Raymond Burke, Archbishop Carlo Maria Viganò, and those responsible in the Church, indicating a definite/hypothesis lexical and semantic field.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The statement refers to specific individuals such as Cardinal Raymond Burke, Archbishop Carlo Maria Viganò, and those responsible in the Church.""
}",['definite/hypothesis'],1
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Lexical_and_semantic_fields,['indefinite/thesis'],['indefinite/thesis'],"['concrete', 'prototype']","{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains references to physical objects and actions, such as 'written notes' and 'verbal testimony'.""
}",['concrete'],"{
  ""Properties"": [""prototype"", ""concrete"", ""definite/hypothesis""],
  ""Explanation"": ""The text uses concrete terms such as 'written notes' and 'verbal testimony', which are specific and tangible. The mention of a 'former trial lawyer' also indicates a specific person.""
}","['prototype', 'concrete', 'definite/hypothesis']","{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text refers to physical objects (notes) and actions (verbal testimony), making use of concrete lexical and semantic fields.""
}",['concrete'],['indefinite/thesis'],['concrete'],-1,[],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains concrete language referring to physical objects (notes) and actions (verbal testimony).""
}",['concrete'],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains concrete language referring to physical objects (notes) and actions (verbal testimony).""
}",['concrete'],"{
  ""Properties"": [""abstract"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains abstract concepts such as 'contemporaneous notes' and 'verbal testimony' which represent broad categories or relationships. Additionally, the mention of 'contemporaneous notes' and 'later verbal testimony' refers to specific things, thus falling under the definite/hypothesis category.""
}","['abstract', 'definite/hypothesis']",0
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Lexical_and_semantic_fields,"['indefinite/thesis', 'definite/hypothesis']",['definite/hypothesis'],['definite/hypothesis'],"```JSON
{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text makes specific reference to Louis Farrakhan, a specific person.""
}
```",['definite/hypothesis'],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains references to physical objects (Louis Farrakhan, individuals) and immediate sense impressions (commanding a following, playing a big role in the lives of thousands of people).""
}",['concrete'],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The example text contains concrete references to physical objects and actions, such as Louis Farrakhan, individuals, and thousands of people.""
}",['concrete'],['definite/hypothesis'],['concrete'],-1,[],"{
  ""Properties"": [""prototype"", ""abstract""],
  ""Explanation"": ""The text uses the prototype property by referring to Louis Farrakhan as an outstanding human being who commands a following, representing a specific member of a group. It also employs the abstract property by discussing broad categories and relationships, such as the role Farrakhan plays in the lives of thousands of people.""
}","['prototype', 'abstract']","{
  ""Properties"": [""prototype"", ""abstract""],
  ""Explanation"": ""The text uses the prototype property by using 'Louis Farrakhan' as a specific member of a group (outstanding human being) representative of that group. It also employs the abstract property by discussing broad categories and relationships (individuals who are learned and articulate, plays a big role in the lives of thousands of people).""
}","['prototype', 'abstract']","{
  ""Properties"": [""prototype"", ""definite/hypothesis""],
  ""Explanation"": ""The use of 'Louis Farrakhan' as a specific individual represents the definite/hypothesis property. Additionally, the mention of 'individuals who are learned and articulate' and 'thousands and thousands and thousands and thousands of people' suggests the use of a prototype to represent a group.""
}","['prototype', 'definite/hypothesis']",0
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Lexical_and_semantic_fields,"['indefinite/thesis', 'definite/hypothesis']",['definite/hypothesis'],['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to a specific person, John Hancock, making it definite/hypothesis."" 
}",['definite/hypothesis'],"```json
{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The specific mention of 'John Hancock' makes this an example of definite reference.""
}
```",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to a specific person, John Hancock, making it definite/hypothesis.""
}",['definite/hypothesis'],['definite/hypothesis'],['definite/hypothesis'],1,[],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The mention of 'John Hancock' as the first signer of the Declaration of Independence is a specific reference to a person, indicating the use of definite/hypothesis property.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to a specific person, John Hancock, making it a definite or hypothesis statement.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to a specific person, John Hancock, making it a definite reference.""
}",['definite/hypothesis'],1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Lexical_and_semantic_fields,['definite/hypothesis'],['definite/hypothesis'],['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The example text contains specific references to 'Thursday', 'Ms. Ford', and 'her story', making it definite/hypothesis in nature.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text contains specific references to 'Thursday' and 'Ms. Ford', indicating definite/hypothesis lexical and semantic fields.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people and events, such as 'Ms. Ford' and 'Thursday'.""
}",['definite/hypothesis'],['definite/hypothesis'],['definite/hypothesis'],1,[],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The use of 'Ms. Ford' and 'her' makes the reference specific and definite, indicating a specific person being talked about.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The statement refers to a specific person, Ms. Ford, and a specific time, Thursday.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The use of 'Ms. Ford' and 'her story' makes the reference specific and definite, indicating a specific person and their story.""
}",['definite/hypothesis'],1
