sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,gpt3.5_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",New_words_and_changing_uses,['foreign_borrowing'],[],"['compounds', 'prefixes/suffixes']","``` 

{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'Muhammad' as a common noun to refer to a Muslim advisor and 'Temur' as a common noun to refer to a historical figure indicates the use of proper nouns as common nouns. Additionally, 'infidels' is a foreign borrowing from the Arabic language.""
}
```","['foreign_borrowing', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'Muhammad' as a general term for a Muslim advisor represents the transformation of a proper noun into a common noun, and it is a foreign borrowing from Arabic.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'Muhammad' as a common noun for a general term and the borrowing of 'Temur' from another language both demonstrate the properties of foreign borrowing and proper nouns to common nouns.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']",['foreign_borrowing'],"['foreign_borrowing', 'proper_nouns_to_common_nouns']",0,[],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The text contains a foreign borrowing in the form of 'infidels', which is borrowed from the Arabic language.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'infidels' is a foreign borrowing from the Arabic language, which has been incorporated into the English language.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of 'Muhammad' is a foreign borrowing from Arabic, as it is a word borrowed from another language.""
}",['foreign_borrowing'],1
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",New_words_and_changing_uses,['prefixes/suffixes'],[],"['compounds', 'catachresis']","{
  ""Properties"": [""compounds"", ""clipping"", ""analogy""],
  ""Explanation"": ""The text contains compounds such as 'homosexual activity', clipping such as 'pope' from 'pope's', and analogy in the form of 'no evidence' and 'no' as a prefix""
}","['compounds', 'clipping', 'analogy']","{
  ""Properties"": [""conversion"", ""clipping""],
  ""Explanation"": ""The word 'texted' is a conversion of the noun 'text' into a verb. The word 'pope' is a clipping of the proper noun 'Pope'.""
}","['conversions', 'clipping']","{
  ""Properties"": [""foreign borrowing"", ""compounds"", ""conversions""],
  ""Explanation"": ""The text contains foreign borrowing with the word 'pope', which is borrowed from Latin. The text also includes compounds like 'homosexual activity' and 'brazen lie'. Finally, the term 'assurance' is a conversion from a noun to a verb.""
}","['foreign_borrowing', 'compounds', 'conversions']",['prefixes/suffixes'],"['compounds', 'clipping', 'analogy']",-1,[],"{
  ""Properties"": [""clipping""],
  ""Explanation"": ""The word 'homosexual' is a clipped form of the original word 'homosexual activity'.""
}",['clipping'],"{
  ""Properties"": [""foreign borrowing"", ""clipping""],
  ""Explanation"": ""The text does not exhibit any new words or changing uses. The words used are all standard English vocabulary.""
}","['foreign_borrowing', 'clipping']","{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The text does not exhibit any of the other properties listed. The word 'homosexual' is a foreign borrowing from the Greek language, where 'homo-' means 'same' and '-sexual' refers to 'sexual orientation'.""
}",['foreign_borrowing'],0
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,New_words_and_changing_uses,['foreign_borrowing'],['foreign_borrowing'],['conversions'],"{
  ""Properties"": [""foreign borrowing"", ""clipping""],
  ""Explanation"": ""The word 'verdict' is borrowed from Latin (veredictum) and then clipped to form the word 'verdict' in English.""
}","['foreign_borrowing', 'clipping']","{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of the proper noun 'Fox news' has been transformed into a common noun to refer to the news organization, and 'horrifying' is a loanword from the French 'horrifiant'.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The word 'verdict' is borrowed from Latin (veredictum).""
}",['foreign_borrowing'],['foreign_borrowing'],"['foreign_borrowing', 'clipping']",0,[],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'verdict' in the context of a legal decision is borrowed from Latin (veredictum).""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'horrifying' in the context of the news text is an example of foreign borrowing, as the word 'horrifying' is borrowed from English and is not a native word in the language it is used in.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'verdict' in the context of a legal decision is borrowed from Latin (veredictum).""
}",['foreign_borrowing'],1
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",New_words_and_changing_uses,['foreign_borrowing'],"['compounds', 'foreign_borrowing']","['compounds', 'conversions']","```{
  ""Properties"": [""foreign borrowing"", ""clipping"", ""conversions""],
  ""Explanation"": ""The text includes the foreign borrowing of 'Breitbart' and 'Hyde Park'. It also uses the clipping of 'according' and 'described'. Additionally, it involves a conversion with 'speaking' originally being a verb used as a noun.""
}```","['foreign_borrowing', 'clipping', 'conversions']","{
  ""Properties"": [""foreign borrowing"", ""conversions"", ""taboo deformation"", ""fabrication""],
  ""Explanation"": ""The text contains a foreign borrowing 'akin', a conversion of the noun 'detention centre' into the adjective 'detention', a taboo deformation 'could cause', and potentially a fabrication 'disrupt community cohesion' which may be a made up term for this context.""
}","['foreign_borrowing', 'conversions', 'taboo_deformation', 'fabrication']","{
  ""Properties"": [""foreign borrowing"", ""conversion"", ""taboo deformation""],
  ""Explanation"": ""The use of 'akin' (foreign borrowing from Old English) and 'disrupt' (noun turned into verb) show the foreign borrowing and conversion properties. The use of 'could cause violence' instead of a more direct term represents taboo deformation.""
}","['foreign_borrowing', 'conversions', 'taboo_deformation']",['foreign_borrowing'],"['foreign_borrowing', 'clipping', 'conversions']",0,[],"{
  ""Properties"": [""foreign borrowing"", ""analogy""],
  ""Explanation"": ""The use of 'akin' is a foreign borrowing from Old English, and it also demonstrates analogy by forming a new word according to the model of 'like' or 'similar to'.""
}","['foreign_borrowing', 'analogy']","{
  ""Properties"": [""foreign borrowing"", ""analogy""],
  ""Explanation"": ""The use of 'akin' is a foreign borrowing from Old English, and it also demonstrates analogy by forming a new word according to the model of 'like' or 'similar to'.""
}","['foreign_borrowing', 'analogy']","{
  ""Properties"": [""foreign borrowing"", ""analogy""],
  ""Explanation"": ""The use of 'akin' is a foreign borrowing from Middle English, and it also demonstrates analogy by forming a new word according to the model of 'like' or 'similar to'.""
}","['foreign_borrowing', 'analogy']",1
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",New_words_and_changing_uses,"['acronyms', 'foreign_borrowing', 'conversions']",['acronyms'],"['compounds', 'acronyms']","```json
{
  ""Properties"": [""conversions"", ""proper nouns to common nouns""],
  ""Explanation"": ""The word 'cashing' is converted from a verb to a noun, and 'kleenex' is used as a common noun to refer to tissue.""
}
```","['conversions', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""compounds"", ""conversions""],
  ""Explanation"": ""The text contains compounds such as 'Senate Ethics', 'political purposes' and 'executive director'. It also uses conversions, such as 'cashing in' (a verb derived from the noun 'cash').""
}","['compounds', 'conversions']","{
  ""Properties"": [""compounds"", ""acronyms"", ""proper nouns to common nouns""],
  ""Explanation"": ""The text includes compounds like 'Senate Ethics rules' and 'elected officials', acronyms like 'FACT', and the use of 'kleenex' as a common noun for tissue.""
}","['compounds', 'acronyms', 'proper_nouns_to_common_nouns']","['acronyms', 'foreign_borrowing', 'conversions']","['conversions', 'proper_nouns_to_common_nouns']",0,[],"{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'Senate' and 'Ethics' as common nouns instead of proper nouns, and the borrowing of 'cashing in' from English slang, demonstrate the properties of proper nouns to common nouns and foreign borrowing.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of 'cashing in' is a foreign borrowing from English, as it is a phrase that originated in English and is now used in the text without translation or modification.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing"", ""compounds"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'Senate', 'Ethics', and 'executive director' are proper nouns that have been used as common nouns in this context. Additionally, 'executive director' is a compound noun. The term 'cashing in' is a foreign borrowing from the world of finance.""
}","['foreign_borrowing', 'compounds', 'proper_nouns_to_common_nouns']",0
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,New_words_and_changing_uses,"['foreign_borrowing', 'prefixes/suffixes']",[],['catachresis'],"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'Viganò' as a general term for Archbishop Carlo Maria Viganò""
}",['proper_nouns_to_common_nouns'],"``` 
{
  ""Properties"": [""foreign borrowing"", ""conversions"", ""proper nouns to common nouns""],
  ""Explanation"": ""The text uses a foreign borrowing ('prelate'), a conversion of a proper noun to a common noun ('Viganò' to refer to Archbishop Carlo Maria Viganò), and a conversion of a noun to a verb ('taken to heart').""
}
```","['foreign_borrowing', 'conversions', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""conversion"", ""proper nouns to common nouns""],
  ""Explanation"": ""The text features the conversion of 'declaration' from a noun to a verb, and the use of proper nouns like 'Archbishop Carlo Maria Viganò' as general terms.""
}","['conversions', 'proper_nouns_to_common_nouns']","['foreign_borrowing', 'prefixes/suffixes']",['proper_nouns_to_common_nouns'],-1,[],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of 'prelate' is a foreign borrowing from Latin, where it means 'an ecclesiastical dignitary'.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'prelate' and 'Archbishop Carlo Maria Viganò' as general terms ('prelate' for a high-ranking member of the clergy and 'Archbishop Carlo Maria Viganò' for a specific individual) demonstrates the use of proper nouns as common nouns. Additionally, 'prelate' is a foreign borrowing from Latin.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'prelate' and 'Archbishop' as general terms for high-ranking church officials indicates the use of proper nouns as common nouns. Additionally, 'Viganò' is a foreign borrowing from Italian.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']",0
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",New_words_and_changing_uses,['foreign_borrowing'],[],"['compounds', 'catachresis']","{
  ""Properties"": [""compounds"", ""conversions""],
  ""Explanation"": ""The text contains compound words such as 'trial lawyer' and 'verbal testimony', as well as conversions of nouns into verbs ('notes' into 'notable').""
}","['compounds', 'conversions']","{
  ""Properties"": [""conversion"", ""blends""],
  ""Explanation"": ""The text contains the conversion of the noun 'notes' into the verb 'notes' and 'verbal testimony'. It also includes a blend with 'contemporaneous' and 'testimony'.""
}","['conversions', 'blends']","{
  ""Properties"": [""acronyms"", ""conversions""],
  ""Explanation"": ""The text uses the acronym 'FAKE' for 'False Assertions Knowingly Empowered'. It also includes a conversion of the noun 'notes' into the verb 'noted'."" 
}","['acronyms', 'conversions']",['foreign_borrowing'],"['compounds', 'conversions']",-1,[],"{
  ""Properties"": [""compounds""],
  ""Explanation"": ""The phrase 'contemporaneous notes' is a compound word, formed by yoking together the existing words 'contemporaneous' and 'notes'.""
}",['compounds'],"{
  ""Properties"": [""compounds"", ""conversion""],
  ""Explanation"": ""The text contains compounds like 'contemporaneous notes' and 'verbal testimony', as well as a conversion of the noun 'notes' into the verb 'contemporaneous notes'.""
}","['compounds', 'conversions']","{
  ""Properties"": [""conversion""],
  ""Explanation"": ""The use of 'notes' as a verb in 'contemporaneous notes' is an example of conversion, where a noun is used as a verb.""
}",['conversions'],0
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",New_words_and_changing_uses,"['doubling', 'foreign_borrowing']",['foreign_borrowing'],['conversions'],,[],,[],,[],"['doubling', 'foreign_borrowing']",['doubling'],0,['doubling'],"{
  ""Properties"": [""doubling""],
  ""Explanation"": ""The use of 'thousands and thousands and thousands and thousands' involves the doubling of the word 'thousands' for emphasis.""
}",['doubling'],"{
  ""Properties"": [""compounds"", ""conversion""],
  ""Explanation"": ""The text contains compounds like 'outstanding human being' and 'thousands and thousands and thousands and thousands'. It also includes a conversion where 'learned' is used as an adjective instead of a past participle.""
}","['compounds', 'conversions']","{
  ""Properties"": [""foreign borrowing"", ""compounds""],
  ""Explanation"": ""The text contains a foreign borrowing in the name 'Louis Farrakhan', which is borrowed from a proper noun. Additionally, the phrase 'thousands and thousands and thousands and thousands' is an example of compounding, as it combines multiple instances of the word 'thousands' for emphasis.""
}","['foreign_borrowing', 'compounds']",0
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",New_words_and_changing_uses,['proper_nouns_to_common_nouns'],[],[],"``` 
{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'John Hancock' as a general term for signature is an example of proper nouns being used as common nouns. Additionally, the name 'John Hancock' is borrowed from a person's name to refer to a signature.""
}
```","['foreign_borrowing', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The proper noun 'John Hancock' is used as a common noun to refer to a signature.""
}",['proper_nouns_to_common_nouns'],"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The proper noun 'John Hancock' is used as a general term referring to a signature.""
}",['proper_nouns_to_common_nouns'],[],['proper_nouns_to_common_nouns'],-1,[],"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The proper noun 'John Hancock' is used as a common noun to refer to a signature.""
}",['proper_nouns_to_common_nouns'],"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The proper noun 'John Hancock' is used as a common noun to refer to a signature, as in 'put your John Hancock on this document.'""
}",['proper_nouns_to_common_nouns'],"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The proper noun 'John Hancock' is used as a common noun to refer to a signature, as in 'put your John Hancock on this document.'""
}",['proper_nouns_to_common_nouns'],1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",New_words_and_changing_uses,[],['foreign_borrowing'],[],"{
  ""Properties"": [""compounds"", ""conversions""],
  ""Explanation"": ""The text includes compounds like 'Thursday' and 'telling the truth', as well as a conversion with 'believe her'""
}","['compounds', 'conversions']","{
  ""Properties"": [""foreign borrowing"", ""clipping"", ""conversions"", ""doubling""],
  ""Explanation"": ""The text uses the foreign borrowing of 'Ms.' (from the honorific 'miss'), clipping of 'Thursday' from 'Thor's day', conversion of 'believe' from a verb to a noun, and doubling with 'you know it'.""
}","['foreign_borrowing', 'clipping', 'conversions', 'doubling']","{
  ""Properties"": [""conversion"", ""acronym"", ""foreign borrowing"", ""taboo deformation""],
  ""Explanation"": ""The use of 'Ms.' as a title is a conversion of a common noun to a proper noun, 'Ms.' is also an acronym, 'Thursday' is a foreign borrowing, and the use of 'darn it' is a taboo deformation.""
}","['conversions', 'acronyms', 'foreign_borrowing', 'taboo_deformation']",[],"['compounds', 'conversions']",-1,[],"{
  ""Properties"": [""conversion""],
  ""Explanation"": ""The word 'believe' is being used as a verb, which is a conversion from its original use as a noun.""
}",['conversions'],"{
  ""Properties"": [""conversion""],
  ""Explanation"": ""The word 'believe' is used as a verb, even though it is originally a noun, making it an example of conversion.""
}",['conversions'],"{
  ""Properties"": [""conversion""],
  ""Explanation"": ""The word 'believe' is being used as a verb, even though it is originally a noun, making it an example of conversion.""
}",['conversions'],1
