sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,gpt3.5_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Prosody_and_punctuation,[],[],[],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text exhibits rhythm through the pattern of stressed and unstressed syllables, creating a sense of flow and musicality.""
}",['rhythm'],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text contains stress on certain syllables and follows a specific rhythm in the arrangement of words and phrases, contributing to the overall prosody of the text.""
}","['stress', 'rhythm']","{
  ""Properties"": [""stress""],
  ""Explanation"": ""The text uses stress to emphasize certain words, such as 'advises', 'according', 'great', 'exterminate', 'glory', 'signalise', and 'conquests'.""
}",['stress'],[],['rhythm'],-1,[],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text exhibits a rhythmic pattern with the repetition of similar sentence structures and the use of parallelism in 'as much to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['rhythm'],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text exhibits a rhythmic pattern with the repetition of similar sentence structures and the use of parallelism in 'as much to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['rhythm'],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text exhibits a rhythmic pattern with the repetition of similar sounds and structures, such as 'the same thing' and 'the great'. This creates a sense of flow and musicality in the sentence.""
}",['rhythm'],1
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Prosody_and_punctuation,['stress'],[],[],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The example text exhibits a natural flow and pattern of sound, indicating the presence of rhythmic properties in the prosody."" 
}",['rhythm'],timeout,[],"{
  ""Properties"": [""rhythm"", ""stress""],
  ""Explanation"": ""The text has a noticeable rhythmic pattern and varying degrees of stress on certain words to create emphasis."" 
}","['rhythm', 'stress']",[],['rhythm'],-1,[],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text uses stress to emphasize the disbelief in the pope's word and creates a rhythmic pattern with the repetition of 'take' and 'for it'.""
}","['stress', 'rhythm']","{
  ""Properties"": [""rhythm"", ""innotation""],
  ""Explanation"": ""The text exhibits a rhythmic pattern in the use of commas and clauses, as well as an innotation of skepticism and disbelief through the use of punctuation and sentence structure.""
}","['rhythm', 'innotation']","{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The text uses innotation to convey a sense of skepticism and emphasis on certain phrases. The rhythm of the sentence also contributes to the overall tone and emphasis on specific words.""
}","['innotation', 'rhythm']",0
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Prosody_and_punctuation,['stress'],[],[],"{
  ""Properties"": [
    ""stress"",
    ""intonation""
  ],
  ""Explanation"": ""The use of double quotation marks around the word 'horrifying' indicates a change in stress and intonation when spoken, highlighting the emotional impact of the verdict.""
}","['stress', 'innotation']","{
  ""Properties"": [""intonation"", ""stress""],
  ""Explanation"": ""The use of quotation marks indicates a change in intonation and stress to emphasize the word 'horrifying'.""
}","['innotation', 'stress']","{
  ""Properties"": [
    ""intonation""
  ],
  ""Explanation"": ""The use of quotation marks around the word 'horrifying' indicates a change in intonation, suggesting emphasis or a particular tone in the speaker's voice.""
}",['innotation'],[],"['stress', 'innotation']",-1,[],"{
  ""Properties"": [""intonation"", ""stress""],
  ""Explanation"": ""The use of quotation marks around the word 'horrifying' indicates a change in intonation or stress to emphasize the word in speech.""
}","['innotation', 'stress']","{
  ""Properties"": [""intonation"", ""stress""],
  ""Explanation"": ""The use of quotation marks around the word 'horrifying' indicates that Ben Shapiro likely emphasized or stressed this word in his statement. Additionally, the word 'horrifying' may have been delivered with a particular intonation to convey the depth of his reaction.""
}","['innotation', 'stress']","{
  ""Properties"": [""intonation""],
  ""Explanation"": ""The use of quotation marks around the word 'horrifying' indicates a change in intonation, suggesting emphasis or a particular tone in the speaker's voice.""
}",['innotation'],0
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Prosody_and_punctuation,[],[],[],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The example text exhibits a rhythmic pattern in the way the words are structured and arranged. This is evident in the flowing and balanced structure of the sentence."" 
}",['rhythm'],"{
  ""Properties"": [""rhythm"", ""stress""],
  ""Explanation"": ""The text contains rhythm in the flow of the sentence structure and stress in the emphasis placed on certain words and phrases.""
}","['rhythm', 'stress']","{
  ""Properties"": [""rhythm"", ""intonation""],
  ""Explanation"": ""The example text uses rhythm to create a smooth and flowing delivery of the information. It also employs intonation to convey emphasis and emotion in the speaker's words.""
}","['rhythm', 'innotation']",[],['rhythm'],-1,[],"{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks around the direct quote indicates innotation, and the flow of the sentence suggests a specific rhythm in the delivery of the information.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks around the statement from Breitbart indicates a potential change in innotation or rhythm when reading the quoted text. This can affect the stress and rhythm of the sentence when spoken aloud.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks and commas in the sentence indicates a specific intonation pattern and rhythm for speaking the quoted text, suggesting the presence of innotation and rhythm in the example.""
}","['innotation', 'rhythm']",1
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Prosody_and_punctuation,['stress'],[],[],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text contains both stressed syllables and a pattern of alternating stressed and unstressed syllables, creating a rhythm. For example, 'clear viOlation' and 'cashing in' have clear stress patterns.""
}","['stress', 'rhythm']","{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text includes stressed words, such as 'violation', and follows a regular rhythm in its sentence structure.""
}","['stress', 'rhythm']","{
  ""Properties"": [""intonation"", ""stress""],
  ""Explanation"": ""The use of quotation marks and punctuation indicates varying intonation and stress to emphasize the quoted statement within the sentence.""
}","['innotation', 'stress']",[],"['stress', 'rhythm']",-1,[],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text contains stress on certain words for emphasis, such as 'clear', 'violation', 'safeguard', and 'cashing in'. Additionally, the sentence has a discernible rhythm due to the arrangement of stressed and unstressed syllables.""
}","['stress', 'rhythm']","{
  ""Properties"": [""innotation"", ""stress""],
  ""Explanation"": ""The use of quotation marks around 'cashing in' indicates innotation, and the stress on certain words such as 'clear' and 'violation' suggests emphasis through stress.""
}","['innotation', 'stress']","{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text contains stress on certain words for emphasis, such as 'clear', 'violation', 'safeguard', and 'cashing in'. This creates a rhythmic pattern in the sentence.""
}","['stress', 'rhythm']",0
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Prosody_and_punctuation,[],[],[],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The use of emphasized words and the overall flow of the sentence demonstrate the presence of stress and rhythm in the example text.""
}","['stress', 'rhythm']","{
  ""Properties"": [""rhythm"", ""stress""],
  ""Explanation"": ""The text exhibits rhythm in the form of regular alternation of stressed and unstressed syllables, as well as stress in the emphasis on certain words within the sentence.""
}","['rhythm', 'stress']","{
  ""Properties"": [""rhythm"", ""stress""],
  ""Explanation"": ""The text exhibits rhythm through the use of alternating stressed and unstressed syllables, as well as stress in the emphasis placed on certain words for added emphasis and meaning."" 
}","['rhythm', 'stress']",[],"['rhythm', 'stress']",-1,[],"{
  ""Properties"": [""intonation"", ""stress""],
  ""Explanation"": ""The use of quotation marks indicates that there may be a specific intonation or stress placed on the quoted statement when spoken aloud.""
}","['innotation', 'stress']","{
  ""Properties"": [""intonation"", ""stress""],
  ""Explanation"": ""The use of quotation marks indicates the presence of intonation, and the emphasis on 'totally' suggests stress in the statement.""
}","['innotation', 'stress']","{
  ""Properties"": [""intonation"", ""stress""],
  ""Explanation"": ""The use of quotation marks indicates the presence of intonation, and the emphasis on 'totally' suggests the use of stress in the statement.""
}","['innotation', 'stress']",1
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Prosody_and_punctuation,[],[],[],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text uses stress to emphasize certain words (e.g. 'former', 'contemporaneous') and has a natural rhythm that is created by the arrangement of the words and phrases.""
}","['stress', 'rhythm']","{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text uses a rhythmic pattern with a combination of long and short sentences for emphasis and flow.""
}",['rhythm'],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text uses stress to emphasize certain words ('former', 'infallible', 'content', 'written'), and has a rhythmic pattern with a mix of long and short sentences.""
}","['stress', 'rhythm']",[],"['stress', 'rhythm']",-1,[],"{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The text does not exhibit stress patterns or explicit punctuation that would indicate prosody, but it does convey a sense of innotation through the use of contrast and emphasis in the sentence structure. The rhythm of the sentence is also notable, with a balanced cadence that contributes to its persuasive effect.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""innotation"", ""stress"", ""rhythm""],
  ""Explanation"": ""The text exhibits innotation through the use of emphasis on certain words to convey the speaker's conviction. The stress and rhythm of the sentence also contribute to the persuasive and authoritative tone of the statement.""
}","['innotation', 'stress', 'rhythm']","{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The text does not exhibit stress patterns or explicit punctuation that would indicate prosody. However, it does exhibit innotation through the use of contrast and emphasis in the structure of the sentence, which is evident in the contrast between 'neither notes nor memories' and 'contemporaneous notes and later verbal testimony.' The rhythm of the sentence is also notable, with a balanced and deliberate cadence that adds weight to the argument being made.""
}","['innotation', 'rhythm']",0
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Prosody_and_punctuation,['stress'],[],[],"{
  ""Properties"": [""rhythm"", ""stress""],
  ""Explanation"": ""The use of repetition of 'thousands and thousands and thousands and thousands' creates a rhythmic pattern in the sentence, and the emphasis on 'thousands and thousands and thousands and thousands' adds stress to these words."" 
}","['rhythm', 'stress']","{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text contains specific stresses on certain words such as 'outstanding' and 'thousands', as well as a noticeable rhythm in the repetition of 'thousands and thousands and thousands and thousands'.""
}","['stress', 'rhythm']","{
  ""Properties"": [""stress""],
  ""Explanation"": ""The presence of emphasis on certain words, such as 'outstanding' and 'thousands', indicates the use of stress in the example text.""
}",['stress'],[],"['rhythm', 'stress']",-1,[],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text contains stress patterns in the repetition of 'thousands and thousands and thousands and thousands' and exhibits a rhythmic quality in the parallel structure of the sentence.""
}","['stress', 'rhythm']","{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text exhibits stress through the repetition of 'thousands and thousands and thousands and thousands' which creates emphasis and rhythm. This repetition creates a rhythmic pattern in the sentence.""
}","['stress', 'rhythm']","{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text contains stress on certain words for emphasis, such as 'outstanding' and 'thousands and thousands and thousands and thousands'. This stress creates a rhythmic pattern in the sentence.""
}","['stress', 'rhythm']",1
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Prosody_and_punctuation,[],[],[],"{
  ""Properties"": [""punctuation""],
  ""Explanation"": ""The example text contains the use of commas for appositives and quotation marks for direct speech, demonstrating the use of punctuation.""
}",['innotation'],"{
  ""Properties"": [""intonation"", ""rhythm""],
  ""Explanation"": ""The use of the comma after 'John Hancock' and the pause after 'Independence' indicate intonation and rhythm in the text.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""intonation"", ""rhythm""],
  ""Explanation"": ""The commas in the text suggest a break or pause in speech, indicating intonation. The repetition of 'of' creates a rhythmic pattern in the sentence.""
}","['innotation', 'rhythm']",[],"['innotation', 'rhythm']",-1,[],"{
  ""Properties"": [""innotation"", ""stress""],
  ""Explanation"": ""The use of innotation and stress can be identified in the example text through the emphasis on 'John Hancock' as the first signer of the Declaration of Independence.""
}","['innotation', 'stress']","{
  ""Properties"": [""rhythm"", ""innotation""],
  ""Explanation"": ""The use of commas and the phrase 'the first signer of the Declaration of Independence' suggests a specific rhythm and innotation in the sentence, emphasizing the importance of John Hancock's role.""
}","['rhythm', 'innotation']","{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text exhibits rhythm through the use of a comma after the introductory phrase 'John Hancock' and the subsequent pause before the continuation of the sentence. This creates a rhythmic pattern in the delivery of the information.""
}",['rhythm'],0
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Prosody_and_punctuation,[],[],[],"{
  ""Properties"": [""intonation"", ""rhythm""],
  ""Explanation"": ""In the example text, the sentence structure and phrasing suggest a particular intonation and rhythm when spoken aloud, indicating the presence of these prosodic properties.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""intonation"", ""stress""],
  ""Explanation"": ""In the given text, there is a change in the pitch and emphasis on certain words when spoken, indicating the use of intonation and stress in prosody.""
}","['innotation', 'stress']","{
  ""Properties"": [""rhythm"", ""stress""],
  ""Explanation"": ""The text contains a regular pattern of stressed and unstressed syllables, creating a rhythmic quality. The use of stress in certain words also helps convey the speaker's emphasis and conviction in their belief.""
}","['rhythm', 'stress']",[],"['innotation', 'rhythm']",-1,[],"{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks and the specific phrasing of 'I believe her because she is telling the truth and you know it by her story' indicates a specific innotation and rhythm in the speaker's delivery.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""punctuation""],
  ""Explanation"": ""The example text contains punctuation in the form of quotation marks and a colon.""
}",['innotation'],"{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks and the specific phrasing indicate a potential change in innotation and rhythm when spoken aloud.""
}","['innotation', 'rhythm']",0
