sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,gpt3.5_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Sentence_architecture,['right_branching'],['Periodic_sentences'],['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause, creating a right-branching structure.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases in the latter part.""
}",['right_branching'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence continues with modifying clauses and phrases after completing grammatically, and it delivers its meaning dramatically at the end, similar to a periodic sentence.""
}","['right_branching', 'Periodic_sentences']",['right_branching'],['right_branching'],1,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'according to the tradition of the Muslim doctors' and 'as much to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'according to the tradition of the Muslim doctors' and 'as much to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'according to the tradition of the Muslim doctors' and 'as much to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['right_branching'],1
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Sentence_architecture,['right_branching'],['right_branching'],['right_branching'],"``` 
        ""Properties"": [""periodic sentences""],
        ""Explanation"": ""The sentence builds up to a dramatic reveal at the end with the phrase 'we can take the assurance for what it seems to be worth.'""
```",['Periodic_sentences'],"``` 
{
  ""Properties"": [
    ""right branching"",
    ""periodic sentences""
  ],
  ""Explanation"": ""The sentence contains multiple modifying clauses after the main clause, following the right-branching structure. It also delivers its meaning dramatically at the end, making it a periodic sentence.""
}
```","['right_branching', 'Periodic_sentences']","{
  ""Properties"": [""right branching"", ""loose sentences""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main predicate, and includes accumulated detail with no concluding point.""
}","['right_branching', 'loose_sentences']",['right_branching'],['Periodic_sentences'],-1,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.'""
}",['right_branching'],1
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Sentence_architecture,['loose_sentences'],['left_branching'],['left_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'horrifying'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses 'the verdict was 'horrifying.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('told Fox news the verdict was horrifying').""
}",['right_branching'],['left_branching'],['right_branching'],-1,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'Conservative Ben Shapiro told Fox news the verdict was 'horrifying.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases ('told Fox news the verdict was “horrifying').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases ('told Fox news the verdict was “horrifying').""
}",['right_branching'],1
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Sentence_architecture,['middle_branching'],['left_branching'],"['middle_branching', 'left_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses or phrases, such as 'who described the detention centre as looking akin to a typical American prison' and 'that his speaking at Hyde Park could cause violence and disrupt community cohesion.'""
}",['right_branching'],"```json
{
    ""Properties"": [""right branching""],
    ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('who described the detention centre as looking akin to a typical American prison' and 'that his speaking at Hyde Park could cause violence and disrupt community cohesion').""
}
```",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after completing its grammatical structure, such as 'who described the detention centre as looking akin to a typical American prison' and 'said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.'""
}",['right_branching'],['middle_branching'],['right_branching'],-1,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'Sellner...American prison'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'Sellner...American prison.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'Sellner...American prison'.""
}",['right_branching'],1
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Sentence_architecture,['right_branching'],['right_branching'],"['middle_branching', 'left_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses or phrases after the main clause, such as 'said Kendra Arnold, executive director of FACT.'""
}",['right_branching'],"```json
        {
            ""Properties"": [""right branching"", ""periodic sentences""],
            ""Explanation"": ""The sentence continues with modifying phrases after completing its grammatical structure at the end, delivering its meaning dramatically, often with a pause before the final predication.""
        }
```","['right_branching', 'Periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete gramatically but continues with modifying clauses ('which safeguard against the appearance or actuality of elected officials 'cashing in' on their official position for political purposes,' said Kendra Arnold, executive director of FACT').""
}",['right_branching'],['right_branching'],['right_branching'],1,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,' after the main clause.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,' said Kendra Arnold, executive director of FACT.')""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes').""
}",['right_branching'],1
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Sentence_architecture,['left_branching'],['left_branching'],['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('of the authority of Archbishop Carlo Maria Viganò').""
}",['right_branching'],"``` 
{
    ""Properties"": [""right branching""],
    ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('made by a prelate of the authority of Archbishop Carlo Maria Viganò').""
}
```",['right_branching'],"{
  ""Properties"": [""periodic sentences""],
  ""Explanation"": ""The meaning of the sentence is delivered dramatically at the end, with a pause before the final predication.""
}",['Periodic_sentences'],['left_branching'],['right_branching'],-1,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('of the authority of Archbishop Carlo Maria Viganò').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is grammatically complete but continues with modifying clauses ('made by a prelate of the authority of Archbishop Carlo Maria Viganò').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'of the authority of Archbishop Carlo Maria Viganò'.""
}",['right_branching'],1
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Sentence_architecture,"['Periodic_sentences', 'left_branching']",['left_branching'],['left_branching'],"{
  ""Properties"": [""right branching"", ""Periodic sentences""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses and delivers its meaning dramatically at the end, making it a periodic sentence. It also contains modifying clauses and phrases after the main clause, making it right-branching.""
}","['right_branching', 'Periodic_sentences']","{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence has a complete grammatical structure but continues with modifying clauses ('in a contest between...') and delivers its meaning dramatically at the end ('the content of the written notes usually prevails').""
}","['right_branching', 'Periodic_sentences']","{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, and it delivers its meaning, often dramatically, at the end.""
}","['right_branching', 'Periodic_sentences']",['left_branching'],"['right_branching', 'Periodic_sentences']",-1,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('neither notes nor memories are infallible') and phrases ('in a contest between contemporaneous notes and later verbal testimony about those notes').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('neither notes nor memories are infallible') and phrases ('in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails').""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('neither notes nor memories are infallible') and phrases ('in a contest between contemporaneous notes and later verbal testimony about those notes').""
}",['right_branching'],1
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Sentence_architecture,['right_branching'],['right_branching'],['right_branching'],"```{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'who commands a following of individuals who are learned and articulate.'""
}```",['right_branching'],"{
  ""Properties"": [""right branching"", ""loose sentences""],
  ""Explanation"": ""The sentence contains multiple modifying clauses that continue after the main clause, creating a right branching structure. Additionally, the sentence trails off in accumulated detail with no concluding point, making it a loose sentence.""
}","['right_branching', 'loose_sentences']","{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause, describing Louis Farrakhan and his followers.""
}",['right_branching'],['right_branching'],['right_branching'],1,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'he emphasized later.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause, creating a right-branching structure.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'I regard him as an outstanding human being.'""
}",['right_branching'],1
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Sentence_architecture,['right_branching'],['left_branching'],['middle_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after completing grammatically.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main subject and verb, creating a right-branching structure.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses about John Hancock after the main clause 'John Hancock said.'""
}",['right_branching'],['right_branching'],['right_branching'],1,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with a modifying clause ('the first signer of the Declaration of Independence').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('the first signer of the Declaration of Independence').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('the first signer of the Declaration of Independence').""
}",['right_branching'],1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Sentence_architecture,['right_branching'],['left_branching'],['left_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause, 'she said Thursday.' The modifying clauses are 'regarding Ms. Ford' and 'I believe her because she is telling the truth and you know it by her story.'""
}",['right_branching'],"{
  ""Properties"": [""right branching"", ""loose sentences""],
  ""Explanation"": ""The sentence is right branching as it continues with modifying clauses after the main clause. It is also a loose sentence as it trails off in accumulated detail with no concluding point.""
}","['right_branching', 'loose_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases such as 'regarding Ms. Ford' and 'by her story.'""
}",['right_branching'],['left_branching'],['right_branching'],-1,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'She said Thursday.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('because she is telling the truth and you know it by her story').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('because she is telling the truth and you know it by her story').""
}",['right_branching'],1
