sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,gpt3.5_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Tropes,['simile'],[],"['hyperbole', 'metaphor']","{
  ""Properties"": [""metaphor"", ""euphemism""],
  ""Explanation"": ""The text contains a metaphor comparing the act of exterminating infidels to acquiring glory and signaling oneself through conquests. It also includes the euphemism 'exterminate' instead of a more direct and offensive term.""
}","['metaphor', 'euphemism']","{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'great Temur' to refer to Temur the Great using a term associated with his greatness and power.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'Temur' as a substitution for 'Timur the Great' based on his reputation and accomplishment.""
}",['metonymy'],['simile'],['metonymy'],-1,[],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'the great Temur' as a substitution for Temur's full title or name represents metonymy, as it is chosen according to a recoverable association with his greatness and conquests.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'the great Temur' as a substitution for Timur the Great, based on his reputation and greatness, is an example of metonymy.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'the great Temur' as a substitute for Timur the Great, chosen based on his association with greatness and conquest.""
}",['metonymy'],1
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Tropes,"['irony', 'hyperbole', 'paradox']",['irony'],"['hyperbole', 'metaphor']","{
  ""Properties"": [""metaphor"", ""irony"", ""hyperbole"", ""euphemism""],
  ""Explanation"": ""The use of 'brazen lie' as a metaphor, the ironic use of 'simply asked' and 'assurance for what it seems to be worth', hyperbolic 'astoundingly brazen lie', and the euphemistic 'homosexual activity' instead of a more blunt phrase.""
}","['metaphor', 'irony', 'hyperbole', 'euphemism']","{
  ""Properties"": [""metaphor"", ""irony"", ""hyperbole"", ""euphemism""],
  ""Explanation"": ""The text uses metaphor to compare the pope's word to an assurance, irony in the statement about taking the pope's word for it, hyperbole with the description of the pope's lie as 'astoundingly brazen', and euphemism with the phrase 'homosexual activity' instead of a more graphic description.""
}","['metaphor', 'irony', 'hyperbole', 'euphemism']","{
  ""Properties"": [""metaphor"", ""irony"", ""euphemism""],
  ""Explanation"": ""The text contains metaphors such as 'pope’s word', use of irony in 'astoundingly brazen lie', and euphemism in 'homosexual activity'.""
}","['metaphor', 'irony', 'euphemism']","['irony', 'hyperbole', 'paradox']","['metaphor', 'irony', 'hyperbole', 'euphemism']",0,[],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement 'we are simply asked to take the pope's word for it' is said in a way that implies skepticism and doubt, which is an example of irony.""
}",['irony'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement 'we are simply asked to take the pope's word for it' is ironic because it implies skepticism or doubt about the pope's honesty, especially after mentioning a 'brazen lie'.""
}",['irony'],"{
  ""Properties"": [""irony"", ""hyperbole""],
  ""Explanation"": ""The statement 'we are simply asked to take the pope's word for it' is ironic, as it implies skepticism towards the pope's credibility. The phrase 'astoundingly brazen lie' is hyperbolic, exaggerating the boldness of the alleged lie.""
}","['irony', 'hyperbole']",0
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tropes,['metonymy'],[],['metaphor'],"``` 
{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'Fox news' to represent the organization as a whole.""
}
```",['metonymy'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The word 'horrifying' is being used in an ironic manner, as conservative Ben Shapiro is likely expressing satisfaction with the verdict.""
}",['irony'],"{
  ""Properties"": [""metaphor"", ""irony""],
  ""Explanation"": ""The use of the metaphor 'horrifying' to describe the verdict, and the irony of a conservative being horrified by the verdict""
}","['metaphor', 'irony']",['metonymy'],['metonymy'],1,[],"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The use of the word 'horrifying' is an overstatement, expressing strong disapproval of the verdict.""
}",['hyperbole'],"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The use of the word 'horrifying' is an overstatement, expressing strong disapproval of the verdict.""
}",['hyperbole'],"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The use of the word 'horrifying' is an overstatement, expressing strong disapproval of the verdict.""
}",['hyperbole'],1
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tropes,"['simile', 'euphemism']",['simile'],['simile'],"{
  ""Properties"": [
    ""metonymy""
  ],
  ""Explanation"": ""The use of 'authorities' as a substitution for the specific people in charge demonstrates the property of metonymy.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'authorities' as a substitute for the specific group or individuals who told Sellner that his speaking at Hyde Park could cause violence and disrupt community cohesion.""
}",['metonymy'],"{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'detention centre' instead of 'prison' is a metonymy, and 'could cause violence and disrupt community cohesion' is a euphemism for potential unrest and conflict.""
}","['metonymy', 'euphemism']",['simile'],['metonymy'],-1,[],"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of 'looking akin to a typical American prison' creates a metaphor by bringing the concept of a prison into the context of a detention center, emphasizing its negative aspects.""
}",['metaphor'],"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of 'looking akin to a typical American prison' creates a metaphor by bringing the concept of an American prison to describe the detention center.""
}",['metaphor'],"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of 'looking akin to a typical American prison' is a metaphor, as it brings a term from a different semantic field (American prison) to describe the detention centre.""
}",['metaphor'],1
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Tropes,"['allegory', 'euphemism']",['antonomasia'],['metaphor'],"{
  ""Properties"": [
    ""antonomasia"",
    ""euphemism""
  ],
  ""Explanation"": ""The phrase 'elected officials' is a descriptive label characterizing while renaming. The use of 'safeguard against the appearance or actuality' is a euphemism to minimize the gravity of the situation.""
}","['antonomasia', 'euphemism']","{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'cashing in' as a metonymy for 'exploiting their official position for personal gain' and the euphemistic phrase 'safeguard against the appearance or actuality' both appear in the text.""
}","['metonymy', 'euphemism']","{
  ""Properties"": [
    ""euphemism""
  ],
  ""Explanation"": ""The phrase 'cashing in' is a euphemism for profiting or exploiting their official position.""
}",['euphemism'],"['allegory', 'euphemism']","['antonomasia', 'euphemism']",0,[],"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of the phrase 'cashing in' is a metaphor, bringing a financial term into the context of political gain.""
}",['metaphor'],"{
  ""Properties"": [""metaphor"", ""euphemism""],
  ""Explanation"": ""The use of 'cashing in' is a metaphor, bringing a financial transaction term into the context of political gain. Additionally, the phrase 'cashing in' is a euphemism for exploiting or benefiting from their official position.""
}","['metaphor', 'euphemism']","{
  ""Properties"": [""metaphor"", ""euphemism""],
  ""Explanation"": ""The use of the phrase 'cashing in' is a metaphor, bringing a financial concept into the context of political gain. Additionally, the mention of 'safeguard against the appearance or actuality' is a euphemism for preventing corruption or unethical behavior.""
}","['metaphor', 'euphemism']",0
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Tropes,"['metonymy', 'synecdoche', 'metaphor']",[],"['metonymy', 'metaphor']","{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'a prelate of the authority of Archbishop Carlo Maria Viganò' is a metonymy, as it substitutes a specific person for the broader category of prelate with authority. The term 'taken to heart' is a euphemism for 'seriously considered'.""
}","['metonymy', 'euphemism']","{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The term 'prelate' is used as a metonymy for Cardinal Raymond Burke, and the phrase 'taken to heart' is a euphemism for 'seriously considered'.""
}","['metonymy', 'euphemism']","```json
{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'prelate' as a substitution for Archbishop Carlo Maria Viganò according to their association with the Church""
}
```",['metonymy'],"['metonymy', 'synecdoche', 'metaphor']","['metonymy', 'euphemism']",0,[],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'prelate of the authority of Archbishop Carlo Maria Viganò' is a metonymy, as it substitutes a specific term for a more general one based on a recoverable association.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'prelate of the authority of Archbishop Carlo Maria Viganò' is a metonymy, as it substitutes a specific term for a more general one based on a recoverable association.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'prelate of the authority of Archbishop Carlo Maria Viganò' is a metonymy, as it substitutes a specific person for a broader category of prelates with similar authority.""
}",['metonymy'],1
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Tropes,[],[],['litotes'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'contemporaneous notes' as a substitution for 'written notes' based on their temporal association.""
}",['metonymy'],"{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'notes' as a substitution for written records is an example of metonymy. The phrase 'let go' instead of 'fired' is an example of euphemism.""
}","['metonymy', 'euphemism']","{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'notes' to stand for the actual written records in the example text is an example of metonymy.""
}",['metonymy'],[],['metonymy'],-1,[],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'contemporaneous notes' as a descriptive label for written notes characterizes and renames them, which is a form of antonomasia.""
}",['antonomasia'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'former trial lawyer' as a descriptive label for the speaker is an example of antonomasia.""
}",['antonomasia'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'former trial lawyer' as a descriptive label for the speaker is an example of antonomasia.""
}",['antonomasia'],1
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Tropes,"['hyperbole', 'metaphor']",['hyperbole'],['hyperbole'],"{
  ""Properties"": [""metonymy"", ""hyperbole"", ""euphemism""],
  ""Explanation"": ""The use of 'individuals' as a substitute for 'followers', the exaggerated repetition of 'thousands', and the euphemistic phrase 'plays a big role' instead of 'exerts a significant influence'."" 
}","['metonymy', 'hyperbole', 'euphemism']","```json
{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The speaker uses euphemistic language to describe Louis Farrakhan, minimizing any negative connotations by emphasizing his positive qualities.""
}
```",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The speaker uses euphemism by referring to Louis Farrakhan as an 'outstanding human being' instead of using a more neutral or negative term.""
}",['euphemism'],['hyperbole'],['euphemism'],-1,[],"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The statement 'thousands and thousands and thousands and thousands of people' is an exaggerated overstatement, not meant to be taken literally.""
}",['hyperbole'],"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The statement 'thousands and thousands and thousands and thousands of people' is an exaggerated overstatement, not meant to be taken literally.""
}",['hyperbole'],"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The statement 'thousands and thousands and thousands and thousands of people' is an exaggerated overstatement, not meant to be taken literally.""
}",['hyperbole'],1
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Tropes,['antonomasia'],[],[],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'John Hancock' as a substitution for the person himself, based on his association with his famous signature.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The term 'John Hancock' is used as a metonymy to refer to a signature, based on the association with his large, prominent signature on the Declaration of Independence.""
}",['metonymy'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'John Hancock' to refer to the first signer of the Declaration of Independence is an example of antonomasia.""
}",['antonomasia'],[],['metonymy'],-1,[],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'John Hancock' as a descriptive label for the first signer of the Declaration of Independence is an example of antonomasia.""
}",['antonomasia'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'John Hancock' as a descriptive label for the first signer of the Declaration of Independence is an example of antonomasia.""
}",['antonomasia'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'John Hancock' as a descriptive label for the first signer of the Declaration of Independence is an example of antonomasia.""
}",['antonomasia'],1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Tropes,[],[],[],"```{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'Ms. Ford' instead of her full name is a metonymy, and the use of 'telling the truth' instead of stating the alleged event directly is a euphemism.""
}```","['metonymy', 'euphemism']","{
  ""Properties"": [""antonomasia"", ""metaphor""],
  ""Explanation"": ""The use of 'Ms. Ford' as a descriptive label instead of the proper name is an example of antonomasia. The phrase 'her story' is a metaphor for Ms. Ford's account of what happened."" 
}","['antonomasia', 'metaphor']","{
  ""Properties"": [
    ""antonomasia""
  ],
  ""Explanation"": ""The use of 'Ms. Ford' as a descriptive label characterizes and renames the person being referred to.""
}",['antonomasia'],[],"['metonymy', 'euphemism']",-1,[],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'I believe her' instead of 'I believe Christine Blasey Ford' can be seen as a euphemism to avoid direct reference to the person's name.""
}",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'I believe her' can be seen as a euphemism for expressing support for Ms. Ford's allegations without explicitly stating it.""
}",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'I believe her' can be seen as a euphemism for expressing support for Ms. Ford's allegations without explicitly stating it.""
}",['euphemism'],1
