sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,gpt3.5_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Verb_choices,['multiplication'],['modality'],[],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The use of 'exterminate' and 'infidels' reflects the denial and contradiction of the infidels' existence. The personification of the nation as 'the greatness of his conquests' also signifies the attribution of human-like agency to the abstract concept of conquests.""
}","['negation', 'personification']","{
  ""Properties"": [""personification""],
  ""Explanation"": ""The personification property is present as the text endows the abstract concept of 'glory' with human-like agency, suggesting that Temur strove to acquire glory as if it were a person.""
}",['personification'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'advises' is used in the text to contradict or deny the action of acquiring glory and signaling himself by the greatness of his conquests."" 
}",['negation'],['multiplication'],"['negation', 'personification']",-1,[],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'the great Temur always strove to exterminate the infidels' endows Temur with human-like agency, attributing the action of striving to him.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'strive to exterminate the infidels' endows Temur with human-like agency, attributing the action of striving to a historical figure.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The text personifies 'glory' by suggesting that Temur strove to acquire it, giving it human-like agency and motivation.""
}",['personification'],1
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Verb_choices,"['nominalization', 'negation']",['modality'],"['modality', 'negation']","{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the contradiction or denial of something, specifically regarding the pope's assurance.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the negation property through the phrase 'but given that it follows his astoundingly brazen lie'.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains a negation in the phrase 'no evidence for Ricca's homosexual activity'.""
}",['negation'],"['nominalization', 'negation']",['negation'],0,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the negation of the pope's claim about evidence for Ricca's homosexual activity.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the negation of the pope's claim about evidence for Ricca's homosexual activity.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains negation in the form of contradicting the pope's statement about evidence for Ricca's homosexual activity.""
}",['negation'],1
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Verb_choices,"['nominalization', 'personification']",[],['personification'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the word 'horrifying' conveys the idea of negation, as it expresses the denial or contradiction of something positive.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'horrifying' expresses a negation or denial of something positive or neutral.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the word 'horrifying' in response to the verdict indicates a form of contradiction or denial, making use of negation.""
}",['negation'],"['nominalization', 'personification']",['negation'],-1,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'horrifying' expresses the negation of a positive outcome, indicating a contradiction or denial of something.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the word 'horrifying' expresses a strong negative sentiment, indicating a form of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the word 'horrifying' expresses a strong negative sentiment towards the verdict.""
}",['negation'],1
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Verb_choices,"['modality', 'multiplication']",['modality'],['modality'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text does not contain any examples of modality, nominalization, personification, or multiplication. However, it does use negation with the word 'could cause'."" 
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'could cause violence' is a form of negation, as it implies the potential for the opposite of violence to occur.""
}",['negation'],"{
  ""Properties"": [""negation"", ""modality"", ""nominalization""],
  ""Explanation"": ""The text contains negation when Sellner was told that his speaking at Hyde Park could cause violence and disrupt community cohesion. It also includes modality with the use of 'could' and 'might' to express possibilities. Additionally, nominalization is present with the transformation of 'he was told' from a verb to a noun."" 
}","['negation', 'modality', 'nominalization']",['modality'],['negation'],-1,[],"{
  ""Properties"": [""modality""],
  ""Explanation"": ""The use of 'could' in the phrase 'could cause violence' indicates modality, as it expresses a possibility or likelihood.""
}",['modality'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'could cause' expresses the possibility of violence and disruption, which is a form of negation as it contradicts the idea that his speaking at Hyde Park would not cause any issues.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'could cause' expresses the possibility of an event happening, which is a form of negation as it denies certainty.""
}",['negation'],0
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Verb_choices,"['nominalization', 'personification']",['negation'],"['nominalization', 'negation']","{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The verb 'safeguard' has been nominalized to 'safeguard' in the sentence, '...Ethics rules which safeguard against the appearance...'""
}",['nominalization'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'safeguard' is used to deny or contradict the 'violation' mentioned in the sentence.""
}",['negation'],"{
  ""Properties"": [
    ""negation"",
    ""nominalization""
  ],
  ""Explanation"": ""The use of 'violation' negates the idea of following the rules, and 'cashing in' is a nominalized form of the verb 'cash'.""
}","['negation', 'nominalization']","['nominalization', 'personification']",['nominalization'],0,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties. The verb 'safeguard' does not involve any modality, nominalization, personification, or multiplication. However, the use of 'violation' and 'safeguard against' in the same sentence creates a sense of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The example does not exhibit any of the other listed properties, but it does contain the negation of 'cashing in' on their official position for political purposes.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text does not exhibit any other properties listed.""
}",['negation'],1
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Verb_choices,"['modality', 'multiplication']",['modality'],['modality'],"{
  ""Properties"": [""multiplication""],
  ""Explanation"": ""The verb 'must be totally taken' involves multiplication by adding the adverb 'totally'.""
}",['multiplication'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement uses the negation of 'must not' to emphasize the importance of taking Archbishop Carlo Maria Viganò's declarations seriously.""
}",['negation'],"``` 
{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The statement declares a contradiction (negation) by emphasizing the importance of the prelate's declarations, endowing them with a sense of agency (personification).""
}
```","['negation', 'personification']",['modality'],['multiplication'],-1,[],"{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The verb 'declares' has been nominalized to 'declaration' in the form of 'statement'.""
}",['nominalization'],"{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The verb 'declare' has been nominalized into the noun 'declaration'.""
}",['nominalization'],"{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The verb 'declare' has been nominalized into the noun 'declaration'.""
}",['nominalization'],1
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Verb_choices,"['modality', 'negation']",['modality'],['modality'],"{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The verb 'prevails' has been nominalized to 'prevails' in the sentence 'the content of the written notes usually prevails.'""
}",['nominalization'],timeout,[],"{
  ""Properties"": [
    ""negation"",
    ""nominalization""
  ],
  ""Explanation"": ""The text uses the negation property through the use of 'neither' and 'nor', and nominalization is present in the phrase 'verbal testimony'.""
}","['negation', 'nominalization']",['modality'],['nominalization'],-1,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'neither' and 'nor' in the sentence indicates negation, as it presents a contradiction or denial between notes and memories being infallible.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'neither' and 'nor' in the sentence indicates a negation, as it presents a contradiction or denial between notes and memories being infallible.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'neither' and 'nor' in the sentence indicates negation, as it presents a contradiction or denial between notes and memories being infallible.""
}",['negation'],1
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Verb_choices,"['multiplication', 'negation']",['negation'],['negation'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'commands' to describe Farrakhan's influence is a form of personification, endowing him with human-like agency.""
}",['personification'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'don't' in the beginning of the sentence indicates negation, contradicting the idea of Louis Farrakhan as an aberration.""
}",['negation'],"{
  ""Properties"": [""negation"", ""multiplication""],
  ""Explanation"": ""The verb 'don’t regard' contains negation, and the multiplication of the phrase 'thousands and thousands and thousands and thousands' emphasizes the scale of Farrakhan's influence.""
}","['negation', 'multiplication']",['negation'],['personification'],-1,[],"{
  ""Properties"": [""negation"", ""multiplication""],
  ""Explanation"": ""The use of 'don't' in 'I don't regard Louis Farrakhan as an aberration' indicates negation. Additionally, the multiplication of 'thousands and thousands and thousands and thousands' demonstrates the property of multiplication.""
}","['negation', 'multiplication']","{
  ""Properties"": [""negation"", ""multiplication""],
  ""Explanation"": ""The use of 'don't' in 'I don't regard Louis Farrakhan as an aberration' indicates negation. Additionally, the multiplication of 'thousands and thousands and thousands and thousands' emphasizes the large number of people influenced by Louis Farrakhan.""
}","['negation', 'multiplication']","{
  ""Properties"": [""negation"", ""multiplication""],
  ""Explanation"": ""The use of 'don't' in 'I don't regard Louis Farrakhan as an aberration' indicates negation. Additionally, the multiplication of 'thousands and thousands and thousands and thousands' emphasizes the large number of people influenced by Louis Farrakhan.""
}","['negation', 'multiplication']",1
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Verb_choices,['nominalization'],[],['nominalization'],"{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The verb 'signer' has been turned into the noun 'signer' through nominalization.""
}",['nominalization'],"```{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The nominalized form of 'John Hancock, the first signer of the Declaration of Independence, said,' would be 'John Hancock, the first signer of the Declaration of Independence, made a statement.'""
}```",['nominalization'],"{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The use of 'signer' turns the verb 'sign' into a noun, creating a nominalized version of the sentence.""
}",['nominalization'],['nominalization'],['nominalization'],1,[],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'said' implies that John Hancock, as a historical figure, is being personified as if he is speaking in the present moment.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'said' endows John Hancock with the agency of speaking, which is a form of personification.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'said' suggests personification by attributing speech to an inanimate historical figure.""
}",['personification'],1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Verb_choices,[],[],[],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The use of 'I believe her because she is telling the truth' includes a form of negation, while 'you know it by her story' personifies the concept of 'truth' by attributing agency to the story."" 
}","['negation', 'personification']",timeout,[],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The verb 'believe' negates the possibility of disbelief, and the use of 'you know it by her story' personifies the story as having the ability to convey truth."" 
}","['negation', 'personification']",[],"['negation', 'personification']",-1,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'you know it' implies negation by denying the opposite, suggesting that the listener should already be aware of the truth.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'you know it' implies negation by denying the possibility of not knowing the truth.""
}",['negation'],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The use of 'I believe her because she is telling the truth' involves negation by denying any possibility of falsehood. The phrase 'you know it by her story' personifies the story, endowing it with the ability to convey truth.""
}","['negation', 'personification']",0
