feature,krippendorf_alpha,fleiss_kappa,jaccard,exact,GPT4-exact,GPT3.5-exact,GPT3.5-0.2
Aspect,0.364,0.363,0.573,0.32,0.9795918367346939,0.567567567567568,0.827027027027027
Emphasis,-0.023,-0.024,0.325,0.314,0.5880398671096345,0.389355742296919,0.871148459383754
Figures_of_argument,0.33,0.329,0.101,0.094,0.9253731343283582,0.428571428571429,0.829131652661064
Figures_of_word_choice,0.171,0.17,0.067,0.047,0.8732394366197183,0.341736694677871,0.694677871148459
Language_of_origin,-0.101,-0.102,0.282,0.042,0.42138364779874216,0.352941176470588,0.661064425770308
Language_varieties,0.074,0.073,0.613,0.126,0.05863192182410423,0.156862745098039,0.507002801120448
Lexical_and_semantic_fields,0.057,0.056,0.269,0.036,0.3639705882352941,0.128851540616246,0.53781512605042
Modifying_clauses,0.496,0.495,0.355,0.255,0.7588235294117647,0.322128851540616,0.73109243697479
Modifying_phrases,0.294,0.293,0.543,0.37,0.16037735849056603,0.375350140056022,0.739495798319328
Mood,0.458,0.458,0.87,0.846,0.9354838709677419,0.733893557422969,0.873949579831933
New_words_and_changing_uses,0.285,0.284,0.203,0.094,0.8660714285714286,0.240896358543417,0.61624649859944
Parallelism,0.035,0.034,0.009,0.009,0.9574468085106383,0.38375350140056,0.7703081232493
Phrases_built_on_nouns,0.52,0.519,0.25,0.237,0.9534883720930233,0.476190476190476,0.862745098039216
Phrases_built_on_verbs,0.24,0.239,0.104,0.095,0.9759036144578314,0.431372549019608,0.92436974789916
Predication,0.331,0.33,0.556,0.324,0.768595041322314,0.459383753501401,0.745098039215686
Prosody_and_punctuation,-0.003,-0.004,0.0,0.0,0.0,0.067226890756303,0.38375350140056
Sentence_architecture,0.197,0.196,0.183,0.106,0.575,0.411764705882353,0.873949579831933
Series,0.332,0.331,0.089,0.089,1.0,0.411764705882353,0.747899159663866
Subject_choices,0.351,0.35,0.426,0.245,0.6521739130434783,0.330532212885154,0.6687306501547987
Tense,0.477,0.477,0.648,0.447,0.8996282527881041,0.352941176470588,0.747081712062257
Tropes,0.217,0.216,0.107,0.067,0.8532110091743119,0.254901960784314,0.649859943977591
Verb_choices,0.407,0.407,0.281,0.182,0.678082191780822,0.476190476190476,0.750700280112045
